"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Illinois","",0,0,0,0,0,0
"Illinois","Murder and manslaughter",269,69,31,13,2,42
"Illinois","Manslaughter by negligence",0,17,2,1,0,3
"Illinois","Rape",315,131,72,23,1,94
"Illinois","Robbery",1395,365,1162,151,86,1228
"Illinois","Aggravated assault",2451,1100,1729,378,472,1640
"Illinois","Burglary",1100,677,753,270,50,976
"Illinois","Larceny",8664,3473,2088,508,884,1732
"Illinois","Motor vehicle theft",3574,963,2060,386,311,2144
"Illinois","Other assaults",13628,6902,5793,1262,2283,4797
"Illinois","Arson",64,25,32,12,3,41
"Illinois","Forgery and counterfeiting",152,45,8,4,4,9
"Illinois","Fraud",1053,431,121,45,25,142
"Illinois","Vandalism",1808,1442,982,840,194,1643
"Illinois","Weapons",2496,816,804,371,149,1033
"Illinois","Prostitution",2939,1820,31,26,22,35
"Illinois","Sex offenses",677,739,70,40,5,105
"Illinois","Total Drug Violations",38904,10447,7095,1373,538,7976
"Illinois","Gambling (total)",2167,27,868,4,11,861
"Illinois","Family offenses",206,134,14,1,12,3
"Illinois","DUI",1684,4255,11,35,5,41
"Illinois","Liquor",202,360,80,229,47,264
"Illinois","Disorderly conduct",9439,6153,1916,1581,552,2968
"Illinois","All other non-traffic offenses",18950,5655,2984,1022,497,3543
