"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Iowa","",0,0,0,0,0,0
"Iowa","Fraud",96,1247,7,63,28,45
"Iowa","All other non-traffic offenses",4537,23612,469,2431,817,2157
"Iowa","DUI",723,13225,7,225,69,168
"Iowa","Liquor",316,8576,62,1997,867,1251
"Iowa","Aggravated assault",763,2569,193,470,184,506
"Iowa","Burglary",252,1236,119,661,51,757
"Iowa","Drunkenness",750,7319,17,227,77,184
"Iowa","Total Drug Violations",1511,7306,183,1006,266,950
"Iowa","Possession (subtotal)",1347,6324,166,928,252,869
"Iowa","Possession-Marijuana",874,3957,139,840,215,790
"Iowa","Sex offenses",23,221,14,74,5,89
"Iowa","Family offenses",146,822,3,21,9,15
"Iowa","Vandalism",237,1452,215,1289,230,1318
"Iowa","Manslaughter by negligence",1,4,0,0,0,0
"Iowa","Other assaults",1530,6250,656,1854,806,1779
"Iowa","Sale (subtotal)",143,761,16,57,9,64
"Iowa","Sale-Other drugs",26,361,1,20,4,17
"Iowa","Larceny",1156,5524,904,3251,1903,2409
"Iowa","Stolen property",23,112,4,34,8,32
"Iowa","Possession-Opiates",400,400,22,17,7,33
"Iowa","Forgery and counterfeiting",164,762,5,41,27,22
"Iowa","Disorderly conduct",764,3094,564,1516,754,1384
"Iowa","Runaways",0,0,36,431,274,201
"Iowa","Motor vehicle theft",86,310,34,183,52,174
"Iowa","Weapons",85,322,25,84,8,106
"Iowa","Possession-Other drugs",65,1898,4,69,30,43
"Iowa","Curfew and Loitering",0,0,88,717,269,558
"Iowa","Sale-Marijuana",47,353,11,33,5,39
"Iowa","Robbery",124,142,70,50,24,96
"Iowa","Rape",10,69,1,20,1,23
"Iowa","Possession-Synthetic narcotics",8,69,1,2,0,3
"Iowa","Embezzlement",18,89,0,8,4,4
"Iowa","Arson",3,62,6,88,8,87
"Iowa","Prostitution",47,163,0,1,0,1
"Iowa","Murder and manslaughter",7,13,0,0,0,0
"Iowa","Vagrancy",7,27,0,0,0,0
"Iowa","Sale-Opiates",70,45,4,3,0,7
"Iowa","Sale-Synthetic narcotics",0,2,0,1,0,1
"Iowa","Gambling (total)",0,6,0,0,0,0
