"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Kansas","Larceny",842,3023,324,1228,686,906
"Kansas","Motor vehicle theft",92,271,18,94,20,94
"Kansas","DUI",835,11294,10,225,53,186
"Kansas","All other non-traffic offenses",3768,14626,196,924,286,855
"Kansas","Other assaults",1484,6920,341,1117,451,1031
"Kansas","Fraud",117,1369,6,14,8,13
"Kansas","Liquor",404,4988,68,1245,474,853
"Kansas","Disorderly conduct",414,2157,214,497,233,490
"Kansas","Aggravated assault",334,996,59,177,33,207
"Kansas","Stolen property",55,172,14,31,10,35
"Kansas","Vandalism",181,930,65,517,60,526
"Kansas","Total Drug Violations",1316,5355,139,830,212,775
"Kansas","Possession (subtotal)",1085,4306,122,754,200,694
"Kansas","Possession-Marijuana",576,2516,104,639,154,601
"Kansas","Possession-Other drugs",66,1142,4,79,31,57
"Kansas","Weapons",164,355,43,86,8,126
"Kansas","",0,0,0,0,0,0
"Kansas","Sex offenses",26,166,13,52,8,57
"Kansas","Sale (subtotal)",227,1040,17,74,12,79
"Kansas","Sale-Other drugs",17,450,0,23,4,19
"Kansas","Rape",19,93,5,25,0,30
"Kansas","Sale-Opiates",119,205,4,9,3,10
"Kansas","Sale-Marijuana",91,372,13,42,5,50
"Kansas","Family offenses",18,162,2,18,10,11
"Kansas","Embezzlement",38,91,2,7,7,3
"Kansas","Possession-Opiates",426,558,14,21,10,26
"Kansas","Drunkenness",22,215,0,1,0,1
"Kansas","Forgery and counterfeiting",174,435,2,19,13,8
"Kansas","Runaways",0,0,412,1251,987,710
"Kansas","Possession-Synthetic narcotics",17,90,0,15,5,10
"Kansas","Manslaughter by negligence",0,1,0,0,0,0
"Kansas","Burglary",132,614,43,215,19,249
"Kansas","Murder and manslaughter",4,12,0,1,0,1
"Kansas","Arson",3,40,6,41,4,45
"Kansas","Robbery",82,100,26,8,1,33
"Kansas","Sale-Synthetic narcotics",0,13,0,0,0,0
"Kansas","Prostitution",56,116,0,0,0,0
"Kansas","Gambling (total)",3,0,0,0,0,0
