"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Kentucky","Murder and manslaughter",17,16,3,0,1,7
"Kentucky","Manslaughter by negligence",0,5,0,0,0,0
"Kentucky","Rape",25,22,2,6,0,31
"Kentucky","Robbery",327,213,122,28,13,172
"Kentucky","Aggravated assault",454,706,101,121,97,290
"Kentucky","Burglary",432,883,125,255,60,664
"Kentucky","Larceny",1392,3499,604,920,854,1365
"Kentucky","Motor vehicle theft",114,175,78,57,28,202
"Kentucky","Other assaults",1106,2259,251,395,449,1014
"Kentucky","Arson",7,24,0,7,4,28
"Kentucky","Forgery and counterfeiting",215,628,16,18,16,54
"Kentucky","Fraud",310,1312,11,20,42,53
"Kentucky","Embezzlement",4,48,0,0,0,0
"Kentucky","Stolen property",355,485,166,141,85,390
"Kentucky","Vandalism",117,263,86,238,63,674
"Kentucky","Weapons",224,259,66,58,13,142
"Kentucky","Sex offenses",17,111,11,16,11,192
"Kentucky","Total Drug Violations",4051,5957,526,598,383,1680
"Kentucky","Sale (subtotal)",1002,799,124,103,122,490
"Kentucky","Sale-Opiates",552,121,43,21,2,77
"Kentucky","Sale-Marijuana",341,271,73,54,21,144
"Kentucky","Sale-Synthetic narcotics",12,88,5,5,7,14
"Kentucky","Sale-Other drugs",97,319,3,23,90,255
"Kentucky","Possession (subtotal)",3047,5156,402,495,264,1192
"Kentucky","Possession-Opiates",633,719,29,24,6,64
"Kentucky","Possession-Marijuana",2088,2925,317,370,184,942
"Kentucky","Possession-Other drugs",250,1256,36,70,57,152
"Kentucky","Family offenses",459,725,0,3,6,27
"Kentucky","DUI",715,4512,10,53,64,339
"Kentucky","Liquor",321,597,28,154,99,299
"Kentucky","Drunkenness",925,5053,23,169,135,465
"Kentucky","Disorderly conduct",611,1032,227,312,300,732
"Kentucky","All other non-traffic offenses",5272,9360,530,693,632,1748
"Kentucky","Gambling (total)",0,10,0,0,0,0
"Kentucky","Bookmaking (horse and sports)",0,7,0,0,0,0
"Kentucky","All other gambling",0,3,0,0,0,0
"Kentucky","Runaways",0,0,54,101,145,118
"Kentucky","Prostitution",166,275,6,0,6,0
"Kentucky","Possession-Synthetic narcotics",76,256,20,31,17,34
"Kentucky","",0,0,0,0,0,0
"Kentucky","Curfew and Loitering",0,0,54,84,32,108
"Kentucky","Vagrancy",278,228,0,0,0,0
