"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Montana","",0,0,0,0,0,0
"Montana","Other assaults",78,2444,7,517,207,458
"Montana","Fraud",1,145,0,14,6,10
"Montana","Vandalism",16,432,6,351,89,342
"Montana","Total Drug Violations",28,1243,6,333,112,276
"Montana","Possession (subtotal)",24,1122,6,295,98,250
"Montana","Possession-Marijuana",12,732,5,243,72,212
"Montana","Burglary",2,135,1,112,20,107
"Montana","DUI",24,3050,0,70,30,53
"Montana","Disorderly conduct",48,1370,14,519,175,448
"Montana","Possession-Other drugs",11,281,1,40,21,30
"Montana","Aggravated assault",25,496,1,72,21,78
"Montana","Larceny",34,1761,14,1207,678,842
"Montana","Liquor",25,1788,7,881,498,569
"Montana","All other non-traffic offenses",70,3416,9,756,277,592
"Montana","Sale (subtotal)",4,105,0,35,14,23
"Montana","Sale-Marijuana",0,53,0,14,3,11
"Montana","Motor vehicle theft",7,119,2,74,34,76
"Montana","Family offenses",3,228,0,30,26,21
"Montana","Rape",2,21,0,9,0,9
"Montana","Sale-Opiates",3,12,0,1,1,0
"Montana","Sale-Other drugs",1,35,0,10,2,10
"Montana","Sex offenses",1,56,1,16,1,18
"Montana","Embezzlement",0,14,0,1,1,1
"Montana","Sale-Synthetic narcotics",0,5,0,10,8,2
"Montana","Weapons",3,69,2,31,3,41
"Montana","Manslaughter by negligence",0,0,0,0,0,0
"Montana","Stolen property",1,17,0,3,0,5
"Montana","Forgery and counterfeiting",2,131,0,9,4,7
"Montana","Gambling (total)",1,1,0,0,0,0
"Montana","Runaways",0,0,7,393,304,171
"Montana","Arson",1,14,0,32,2,35
"Montana","Robbery",2,39,1,6,0,8
"Montana","Possession-Synthetic narcotics",1,73,0,7,4,4
"Montana","Curfew and Loitering",0,0,1,404,220,291
"Montana","Prostitution",0,2,0,0,0,0
"Montana","Possession-Opiates",0,36,0,5,1,4
"Montana","Murder and manslaughter",0,9,0,0,0,0
"Montana","Vagrancy",0,8,0,0,0,0
