"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Virginia","Larceny",7335,10241,2437,2205,1755,2921
"Virginia","Fraud",3250,6337,54,59,41,72
"Virginia","Weapons",1899,1387,423,319,69,677
"Virginia","Total Drug Violations",14200,13627,995,1586,410,2193
"Virginia","Possession (subtotal)",10218,11010,800,1420,371,1870
"Virginia","Possession-Marijuana",5530,6820,641,1234,307,1587
"Virginia","Possession-Other drugs",642,1389,50,129,41,140
"Virginia","DUI",4734,19712,14,156,41,130
"Virginia","Drunkenness",6728,20446,47,169,46,174
"Virginia","Disorderly conduct",2571,2401,1319,600,671,1258
"Virginia","All other non-traffic offenses",43050,51822,3595,4115,2165,5606
"Virginia","Aggravated assault",2156,1962,448,246,135,563
"Virginia","Motor vehicle theft",523,583,219,148,57,310
"Virginia","Other assaults",13550,17472,2973,2218,1742,3485
"Virginia","Possession-Opiates",3988,2508,105,40,20,125
"Virginia","Forgery and counterfeiting",825,1548,30,58,30,59
"Virginia","Embezzlement",662,812,46,31,33,44
"Virginia","Family offenses",818,599,12,8,12,8
"Virginia","Liquor",1770,6961,204,1301,505,1024
"Virginia","",0,0,0,0,0,0
"Virginia","Sale (subtotal)",3683,2164,178,143,35,287
"Virginia","Sale-Opiates",2639,748,74,8,11,71
"Virginia","Sale-Marijuana",821,701,89,98,15,173
"Virginia","Vandalism",1133,1907,603,867,215,1266
"Virginia","Sex offenses",291,564,104,109,10,204
"Virginia","Robbery",1026,396,396,67,17,448
"Virginia","Burglary",1114,1907,625,576,85,1125
"Virginia","Possession-Synthetic narcotics",58,293,4,17,3,18
"Virginia","Stolen property",481,369,116,48,25,140
"Virginia","Murder and manslaughter",203,100,15,2,2,16
"Virginia","Arson",53,112,44,136,10,173
"Virginia","Rape",129,172,23,16,0,39
"Virginia","Curfew and Loitering",0,0,1289,1392,835,1872
"Virginia","Sale-Other drugs",206,561,13,31,6,38
"Virginia","Runaways",0,0,2235,2206,2516,1972
"Virginia","Prostitution",369,428,0,2,2,0
"Virginia","Sale-Synthetic narcotics",17,154,2,6,3,5
"Virginia","Vagrancy",53,64,0,0,0,0
"Virginia","Gambling (total)",30,24,12,0,1,11
"Virginia","Manslaughter by negligence",4,3,0,0,0,0
