"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Washington","Aggravated assault",604,3425,98,642,158,631
"Washington","Other assaults",3260,22133,652,4533,1948,3572
"Washington","Total Drug Violations",2829,18341,215,2368,666,2079
"Washington","Possession (subtotal)",2327,14943,188,2011,586,1740
"Washington","Possession-Synthetic narcotics",122,3504,10,202,81,142
"Washington","DUI",1864,32491,32,464,118,406
"Washington","All other non-traffic offenses",7788,43789,686,3764,1252,3497
"Washington","Runaways",0,0,147,1579,1144,675
"Washington","Larceny",2665,17594,938,6358,3413,4463
"Washington","Liquor",284,7079,100,3201,1179,2362
"Washington","Disorderly conduct",253,3556,47,544,155,461
"Washington","Vandalism",433,4045,162,2005,364,1895
"Washington","Possession-Marijuana",666,6810,122,1586,416,1386
"Washington","Burglary",312,3501,207,1484,239,1561
"Washington","Sale (subtotal)",395,2849,13,275,68,253
"Washington","Sale-Marijuana",63,726,3,161,33,154
"Washington","Sale-Synthetic narcotics",45,573,3,26,7,22
"Washington","",0,0,0,0,0,0
"Washington","Possession-Other drugs",1155,3034,49,152,68,151
"Washington","Weapons",340,2390,69,569,71,619
"Washington","Motor vehicle theft",137,1392,88,557,168,545
"Washington","Murder and manslaughter",15,115,2,7,2,12
"Washington","Manslaughter by negligence",2,38,0,3,1,3
"Washington","Rape",60,572,4,121,1,127
"Washington","Robbery",318,884,146,213,66,335
"Washington","Arson",14,221,12,184,41,165
"Washington","Forgery and counterfeiting",346,2376,15,93,35,82
"Washington","Fraud",121,1320,3,41,14,31
"Washington","Stolen property",412,3899,89,459,104,504
"Washington","Prostitution",358,1071,7,23,29,6
"Washington","Sex offenses",52,924,16,213,24,210
"Washington","Family offenses",37,349,2,11,6,7
"Washington","Embezzlement",12,106,0,8,1,9
"Washington","Sale-Other drugs",44,691,3,61,15,58
"Washington","Possession-Opiates",384,1595,7,71,21,61
"Washington","Vagrancy",2,17,0,1,0,1
"Washington","Sale-Opiates",243,859,4,27,13,19
"Washington","Gambling (total)",0,5,0,0,0,0
"Washington","All other gambling",0,2,0,0,0,0
"Washington","Drunkenness",0,2,0,1,0,1
"Washington","Suspicion",1,5,0,0,0,0
"Washington","Curfew and Loitering",0,0,1,16,2,16
