"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Wyoming","",0,0,0,0,0,0
"Wyoming","Aggravated assault",11,411,2,56,13,48
"Wyoming","Larceny",67,1171,41,732,351,495
"Wyoming","Other assaults",103,2063,35,695,226,525
"Wyoming","Family offenses",11,269,1,18,7,12
"Wyoming","DUI",75,4616,1,80,20,68
"Wyoming","All other non-traffic offenses",364,10467,52,1408,459,1051
"Wyoming","Total Drug Violations",66,2653,15,438,104,372
"Wyoming","Possession (subtotal)",62,2348,13,407,90,353
"Wyoming","Possession-Marijuana",45,1410,11,343,72,291
"Wyoming","Rape",3,26,1,2,0,3
"Wyoming","Burglary",4,247,2,74,8,70
"Wyoming","Motor vehicle theft",4,73,0,36,10,30
"Wyoming","Vandalism",9,441,11,322,75,267
"Wyoming","Weapons",5,122,2,59,1,66
"Wyoming","Liquor",36,2672,20,1043,479,655
"Wyoming","Sex offenses",5,129,0,14,0,15
"Wyoming","Possession-Synthetic narcotics",11,576,1,21,7,15
"Wyoming","Robbery",2,29,2,2,0,4
"Wyoming","Fraud",4,157,0,9,5,4
"Wyoming","Stolen property",2,67,0,4,1,3
"Wyoming","Disorderly conduct",22,900,15,263,86,213
"Wyoming","Forgery and counterfeiting",6,134,0,3,0,3
"Wyoming","Curfew and Loitering",0,0,6,372,141,246
"Wyoming","Murder and manslaughter",3,9,0,1,0,1
"Wyoming","Sale (subtotal)",4,305,2,31,14,19
"Wyoming","Sale-Synthetic narcotics",1,169,0,3,0,3
"Wyoming","Arson",0,12,0,8,1,7
"Wyoming","Drunkenness",31,1422,1,31,13,23
"Wyoming","Suspicion",0,32,0,66,16,51
"Wyoming","Sale-Other drugs",0,30,1,13,9,5
"Wyoming","Sale-Marijuana",0,90,1,15,5,11
"Wyoming","Gambling (total)",2,17,0,0,0,0
"Wyoming","Bookmaking (horse and sports)",1,7,0,0,0,0
"Wyoming","Runaways",0,0,24,259,162,128
"Wyoming","Sale-Opiates",3,16,0,0,0,0
"Wyoming","Possession-Opiates",3,60,0,3,0,3
"Wyoming","Embezzlement",0,7,0,0,0,0
"Wyoming","Possession-Other drugs",3,302,1,40,11,44
"Wyoming","All other gambling",1,10,0,0,0,0
"Wyoming","Vagrancy",0,16,2,9,2,11
"Wyoming","Manslaughter by negligence",0,3,0,0,0,0
"Wyoming","Prostitution",0,2,0,1,0,1
