"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Ohio","Murder and manslaughter",33,13,4,1,0,5
"Ohio","Robbery",125,47,52,10,1,61
"Ohio","Aggravated assault",43,22,9,2,1,10
"Ohio","Burglary",110,90,71,27,9,92
"Ohio","Larceny",212,245,47,25,24,48
"Ohio","Motor vehicle theft",117,55,86,19,11,95
"Ohio","Other assaults",460,435,130,86,92,131
"Ohio","Forgery and counterfeiting",193,80,1,1,2,0
"Ohio","Fraud",21,5,0,1,0,1
"Ohio","Stolen property",58,32,17,6,5,18
"Ohio","Vandalism",26,30,9,7,1,15
"Ohio","Weapons",10,6,20,4,2,22
"Ohio","Prostitution",175,398,1,1,1,1
"Ohio","Sex offenses",4,13,2,2,0,4
"Ohio","Total Drug Violations",70,28,3,0,0,3
"Ohio","Sale (subtotal)",23,10,1,0,0,1
"Ohio","Sale-Opiates",23,5,0,0,0,0
"Ohio","Sale-Marijuana",0,4,1,0,0,1
"Ohio","Possession (subtotal)",47,17,2,0,0,2
"Ohio","Possession-Opiates",42,7,1,0,0,1
"Ohio","Possession-Synthetic narcotics",0,2,0,0,0,0
"Ohio","Possession-Other drugs",0,1,0,0,0,0
"Ohio","Family offenses",21,17,5,2,4,3
"Ohio","Liquor",3,21,0,0,0,0
"Ohio","Disorderly conduct",13,37,4,1,0,5
"Ohio","All other non-traffic offenses",79,64,10,1,0,11
"Ohio","Rape",10,12,2,1,0,3
"Ohio","Embezzlement",4,7,0,0,0,0
"Ohio","Possession-Marijuana",5,7,1,0,0,1
"Ohio","DUI",0,1,0,0,0,0
"Ohio","Sale-Synthetic narcotics",0,1,0,0,0,0
"Ohio","Gambling (total)",0,2,0,0,0,0
