"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Rhode Island","",0,0,0,0,0,0
"Rhode Island","Murder and manslaughter",4,5,0,0,0,0
"Rhode Island","Manslaughter by negligence",0,1,0,0,0,0
"Rhode Island","Rape",6,3,1,2,0,3
"Rhode Island","Robbery",46,31,5,2,0,7
"Rhode Island","Aggravated assault",29,53,4,4,1,8
"Rhode Island","Burglary",20,42,6,6,0,14
"Rhode Island","Larceny",68,152,12,5,7,10
"Rhode Island","Motor vehicle theft",18,26,11,9,2,20
"Rhode Island","Other assaults",253,413,37,27,15,49
"Rhode Island","Arson",0,0,0,1,0,2
"Rhode Island","Forgery and counterfeiting",20,20,0,0,0,0
"Rhode Island","Fraud",8,11,0,0,0,0
"Rhode Island","Embezzlement",2,8,0,0,0,0
"Rhode Island","Stolen property",11,22,1,0,0,1
"Rhode Island","Vandalism",30,46,2,9,0,11
"Rhode Island","Weapons",40,29,5,11,0,17
"Rhode Island","Prostitution",25,89,0,0,0,0
"Rhode Island","Sex offenses",2,12,2,2,0,4
"Rhode Island","Total Drug Violations",254,396,22,23,6,39
"Rhode Island","Sale (subtotal)",74,105,5,3,0,8
"Rhode Island","Sale-Opiates",65,85,3,2,0,5
"Rhode Island","Sale-Marijuana",8,19,1,1,0,2
"Rhode Island","Sale-Synthetic narcotics",1,1,0,0,0,0
"Rhode Island","Sale-Other drugs",0,0,1,0,0,1
"Rhode Island","Possession (subtotal)",180,291,17,20,6,31
"Rhode Island","Possession-Opiates",91,176,6,6,4,8
"Rhode Island","Possession-Marijuana",87,109,11,14,2,23
"Rhode Island","Possession-Synthetic narcotics",2,5,0,0,0,0
"Rhode Island","Possession-Other drugs",0,1,0,0,0,0
"Rhode Island","Family offenses",1,3,0,0,0,0
"Rhode Island","DUI",8,29,0,0,0,0
"Rhode Island","Liquor",23,360,1,0,0,1
"Rhode Island","Drunkenness",1,2,0,0,0,0
"Rhode Island","Disorderly conduct",164,326,83,52,60,79
"Rhode Island","Vagrancy",0,3,1,0,1,0
"Rhode Island","All other non-traffic offenses",1021,1341,32,48,19,66
"Rhode Island","Gambling (total)",1,1,0,0,0,0
"Rhode Island","Bookmaking (horse and sports)",1,0,0,0,0,0
"Rhode Island","All other gambling",0,1,0,0,0,0
"Rhode Island","Curfew and Loitering",0,0,1,0,0,1
