"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Utah","Robbery",17,73,3,8,1,14
"Utah","Aggravated assault",36,198,10,44,11,45
"Utah","Burglary",13,141,6,26,4,30
"Utah","Larceny",115,1716,69,559,325,404
"Utah","Motor vehicle theft",5,45,4,26,6,28
"Utah","Other assaults",142,1093,33,195,89,173
"Utah","Forgery and counterfeiting",8,110,0,0,0,0
"Utah","Fraud",4,36,0,3,0,3
"Utah","Stolen property",12,120,9,24,10,25
"Utah","Vandalism",16,201,8,76,15,76
"Utah","Weapons",15,184,3,55,7,62
"Utah","Prostitution",20,228,0,2,2,0
"Utah","Sex offenses",2,22,4,9,0,14
"Utah","Total Drug Violations",136,915,9,99,28,91
"Utah","Sale (subtotal)",37,138,0,5,0,5
"Utah","Sale-Opiates",35,71,0,0,0,0
"Utah","Possession (subtotal)",99,774,9,94,28,86
"Utah","Possession-Opiates",63,216,0,2,0,2
"Utah","Possession-Marijuana",28,282,7,83,23,78
"Utah","Possession-Synthetic narcotics",0,4,0,0,0,0
"Utah","Possession-Other drugs",8,272,2,9,5,6
"Utah","Family offenses",38,378,0,1,0,1
"Utah","DUI",39,1138,1,26,10,19
"Utah","Liquor",186,1680,6,152,61,126
"Utah","Drunkenness",97,932,0,1,0,3
"Utah","Disorderly conduct",52,385,28,160,65,138
"Utah","All other non-traffic offenses",921,6108,29,268,101,223
"Utah","Arson",0,5,0,3,0,3
"Utah","Sale-Marijuana",1,20,0,2,0,2
"Utah","Sale-Other drugs",1,47,0,3,0,3
"Utah","Vagrancy",1,0,0,0,0,0
"Utah","Rape",4,3,1,3,0,4
"Utah","Murder and manslaughter",3,3,0,0,0,0
"Utah","Embezzlement",0,1,0,0,0,0
