"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Alaska","Rape",6,19,0,3,0,8
"Alaska","Robbery",26,44,15,10,7,33
"Alaska","Aggravated assault",115,620,16,66,18,108
"Alaska","Burglary",32,193,14,102,24,200
"Alaska","Larceny",217,1609,102,589,373,591
"Alaska","Motor vehicle theft",47,140,15,43,18,92
"Alaska","Other assaults",316,1655,51,171,163,256
"Alaska","Forgery and counterfeiting",14,86,0,3,2,1
"Alaska","Fraud",3,127,1,7,3,6
"Alaska","Stolen property",2,9,0,2,0,2
"Alaska","Vandalism",42,370,24,149,38,236
"Alaska","Weapons",38,208,12,43,8,72
"Alaska","Sex offenses",13,63,4,18,2,42
"Alaska","Total Drug Violations",155,1029,28,179,75,180
"Alaska","Sale (subtotal)",68,311,3,40,15,35
"Alaska","Sale-Opiates",62,173,2,18,9,14
"Alaska","Sale-Marijuana",4,90,1,12,5,11
"Alaska","Sale-Other drugs",1,33,0,10,1,10
"Alaska","Possession (subtotal)",87,718,25,139,60,145
"Alaska","Possession-Opiates",7,76,0,3,0,3
"Alaska","Possession-Marijuana",38,501,13,104,40,101
"Alaska","Family offenses",23,157,1,2,2,2
"Alaska","DUI",162,3174,3,37,21,43
"Alaska","Liquor",25,903,8,181,151,143
"Alaska","Drunkenness",0,20,0,4,11,13
"Alaska","Disorderly conduct",46,419,9,39,21,45
"Alaska","All other non-traffic offenses",1429,8811,71,502,257,571
"Alaska","Manslaughter by negligence",0,4,0,0,0,0
"Alaska","Prostitution",20,103,0,1,1,1
"Alaska","Possession-Synthetic narcotics",31,59,1,6,3,6
"Alaska","Possession-Other drugs",11,82,11,26,17,35
"Alaska","Sale-Synthetic narcotics",1,15,0,0,0,0
"Alaska","Murder and manslaughter",4,17,1,1,0,2
"Alaska","Embezzlement",2,2,0,1,0,1
"Alaska","Arson",0,13,1,9,5,18
"Alaska","Vagrancy",0,1,0,0,0,0
"Alaska","Gambling (total)",0,0,0,0,0,0
"Alaska","All other gambling",0,0,0,0,0,0
"Alaska","Suspicion",0,1,0,0,0,0
"Alaska","Runaways",0,0,2,122,181,104
"Alaska","",0,0,0,0,0,0
