"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Idaho","",0,0,0,0,0,0
"Idaho","Larceny",30,2715,38,2132,911,1404
"Idaho","Total Drug Violations",105,4655,10,764,182,638
"Idaho","Sale (subtotal)",17,553,3,81,21,69
"Idaho","Sale-Other drugs",9,364,0,23,11,17
"Idaho","Possession (subtotal)",84,3988,7,668,157,558
"Idaho","Possession-Marijuana",46,2177,6,528,118,449
"Idaho","Possession-Other drugs",32,1642,0,97,27,75
"Idaho","Family offenses",9,483,0,7,3,4
"Idaho","DUI",106,10076,3,256,65,214
"Idaho","Liquor",38,3773,18,1838,786,1255
"Idaho","All other non-traffic offenses",370,21683,49,3390,1206,2486
"Idaho","Other assaults",104,4811,44,1231,432,910
"Idaho","Stolen property",5,207,1,55,11,48
"Idaho","Possession-Opiates",5,115,1,11,5,7
"Idaho","Aggravated assault",30,964,1,168,33,139
"Idaho","Weapons",9,394,2,169,16,163
"Idaho","Possession-Synthetic narcotics",1,54,0,32,7,27
"Idaho","Disorderly conduct",37,1859,16,548,193,430
"Idaho","Forgery and counterfeiting",2,299,0,16,6,11
"Idaho","Sale-Opiates",3,32,0,0,0,0
"Idaho","Sale-Marijuana",5,150,2,36,10,28
"Idaho","Murder and manslaughter",1,22,0,3,0,3
"Idaho","Fraud",17,512,1,32,12,22
"Idaho","Drunkenness",3,206,0,13,1,12
"Idaho","Rape",5,106,1,27,0,30
"Idaho","Robbery",3,84,1,29,3,27
"Idaho","Burglary",9,621,7,410,54,374
"Idaho","Motor vehicle theft",0,177,0,127,38,92
"Idaho","Vandalism",14,698,5,546,92,496
"Idaho","Runaways",0,0,54,1889,1190,805
"Idaho","Embezzlement",2,119,0,15,6,9
"Idaho","Sex offenses",2,273,1,92,8,88
"Idaho","Gambling (total)",0,13,0,0,0,0
"Idaho","Curfew and Loitering",0,0,6,728,273,494
"Idaho","Sale-Synthetic narcotics",0,7,1,22,0,24
"Idaho","Arson",2,17,0,77,12,69
"Idaho","Prostitution",0,0,0,0,0,0
"Idaho","Vagrancy",1,11,0,0,0,0
"Idaho","Manslaughter by negligence",0,2,0,0,0,0
