"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Iowa","",0,0,0,0,0,0
"Iowa","Fraud",98,1022,19,65,40,47
"Iowa","Liquor",334,7057,65,2011,902,1262
"Iowa","Aggravated assault",679,2384,226,501,163,582
"Iowa","Vandalism",308,1666,274,1728,319,1737
"Iowa","DUI",711,12980,4,317,90,235
"Iowa","All other non-traffic offenses",4815,24014,508,2564,843,2289
"Iowa","Other assaults",1740,6414,785,2084,899,2038
"Iowa","Forgery and counterfeiting",140,673,4,38,21,22
"Iowa","Total Drug Violations",1749,6561,223,1049,251,1049
"Iowa","Possession (subtotal)",1540,5700,204,956,232,953
"Iowa","Possession-Marijuana",1028,3986,169,841,198,834
"Iowa","Disorderly conduct",732,3094,757,1709,859,1673
"Iowa","Drunkenness",993,8959,32,380,165,274
"Iowa","Motor vehicle theft",65,293,47,189,69,172
"Iowa","Sale (subtotal)",180,663,16,65,11,73
"Iowa","Sale-Marijuana",78,261,12,39,4,49
"Iowa","Possession-Other drugs",66,1253,5,78,24,60
"Iowa","Burglary",214,1264,140,735,81,827
"Iowa","Family offenses",191,776,3,16,10,10
"Iowa","Larceny",1219,4949,930,3084,1854,2321
"Iowa","Runaways",0,0,45,434,295,187
"Iowa","Sex offenses",30,192,15,74,4,88
"Iowa","Sale-Other drugs",16,309,1,20,5,17
"Iowa","Weapons",93,318,35,96,10,126
"Iowa","Rape",17,72,3,31,0,35
"Iowa","Curfew and Loitering",0,0,118,870,349,658
"Iowa","Stolen property",21,152,10,65,15,63
"Iowa","Possession-Opiates",432,375,30,22,3,50
"Iowa","Possession-Synthetic narcotics",14,86,0,15,7,9
"Iowa","Robbery",140,179,73,34,8,100
"Iowa","Manslaughter by negligence",0,2,0,0,0,0
"Iowa","Arson",8,76,12,98,20,92
"Iowa","Prostitution",32,114,0,3,1,2
"Iowa","Murder and manslaughter",9,30,1,0,0,1
"Iowa","Gambling (total)",3,11,0,0,0,0
"Iowa","Sale-Opiates",86,83,3,5,2,6
"Iowa","Sale-Synthetic narcotics",0,10,0,1,0,1
"Iowa","Vagrancy",7,17,0,0,0,0
"Iowa","Embezzlement",5,85,2,9,4,7
