"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Louisiana","",0,0,0,0,0,0
"Louisiana","Other assaults",11128,7862,3729,1249,1702,3316
"Louisiana","Total Drug Violations",15015,11953,1213,1021,307,1942
"Louisiana","Possession (subtotal)",11717,10212,1007,885,264,1643
"Louisiana","Possession-Opiates",3420,2851,137,75,28,189
"Louisiana","Burglary",1887,1877,807,506,77,1243
"Louisiana","Larceny",6349,5985,1895,1163,1042,2036
"Louisiana","Vandalism",1631,1351,633,530,204,965
"Louisiana","Possession-Other drugs",629,1270,34,55,13,76
"Louisiana","Drunkenness",1042,2071,15,41,12,44
"Louisiana","Aggravated assault",4195,3259,1005,340,334,1016
"Louisiana","Disorderly conduct",9769,5165,3578,1468,1993,3091
"Louisiana","All other non-traffic offenses",26299,20144,2646,1994,1262,3422
"Louisiana","Possession-Marijuana",7239,5246,815,721,216,1328
"Louisiana","Sale (subtotal)",3228,1668,202,131,42,291
"Louisiana","Sale-Marijuana",890,387,91,79,23,147
"Louisiana","Stolen property",1020,657,219,68,21,269
"Louisiana","Possession-Synthetic narcotics",429,845,21,34,7,50
"Louisiana","Sex offenses",391,486,76,96,9,165
"Louisiana","Sale-Synthetic narcotics",80,205,9,9,3,15
"Louisiana","DUI",2474,7609,3,85,20,68
"Louisiana","Fraud",1241,1297,18,17,15,20
"Louisiana","Curfew and Loitering",0,0,410,266,178,505
"Louisiana","Runaways",0,0,305,379,414,279
"Louisiana","Rape",213,185,32,33,0,65
"Louisiana","Robbery",703,287,203,33,15,221
"Louisiana","Vagrancy",163,187,51,15,23,43
"Louisiana","Forgery and counterfeiting",517,545,14,9,3,21
"Louisiana","Murder and manslaughter",205,82,38,7,2,43
"Louisiana","Motor vehicle theft",634,378,243,67,57,254
"Louisiana","Liquor",4074,2707,70,266,98,240
"Louisiana","Suspicion",90,183,29,25,9,45
"Louisiana","Weapons",1292,535,288,69,46,317
"Louisiana","Family offenses",700,813,49,56,48,57
"Louisiana","Sale-Opiates",1856,570,89,18,6,101
"Louisiana","Manslaughter by negligence",11,19,2,0,1,1
"Louisiana","Gambling (total)",62,14,21,1,2,20
"Louisiana","Prostitution",293,236,4,2,3,4
"Louisiana","Embezzlement",123,52,4,1,1,4
"Louisiana","Arson",59,45,27,21,10,39
"Louisiana","Sale-Other drugs",402,505,13,25,10,28
"Louisiana","All other gambling",59,14,17,1,2,16
"Louisiana","Bookmaking (horse and sports)",1,0,0,0,0,0
