"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Maine","",0,0,0,0,0,0
"Maine","Total Drug Violations",217,4898,12,615,123,506
"Maine","Sale (subtotal)",91,1038,4,104,22,86
"Maine","Sale-Opiates",78,308,2,10,4,8
"Maine","Sale-Other drugs",4,228,1,23,7,17
"Maine","Possession (subtotal)",126,3855,8,511,101,420
"Maine","Possession-Opiates",52,626,0,23,11,13
"Maine","All other non-traffic offenses",769,15196,49,1403,336,1124
"Maine","Sale-Marijuana",7,364,1,63,9,55
"Maine","Possession-Synthetic narcotics",5,317,1,27,8,20
"Maine","Possession-Marijuana",54,2282,5,401,69,338
"Maine","Possession-Other drugs",15,630,2,60,13,49
"Maine","Larceny",127,3692,65,1303,523,868
"Maine","Other assaults",312,5764,36,906,294,656
"Maine","DUI",151,7345,3,168,43,129
"Maine","Liquor",76,3591,26,1213,446,801
"Maine","Weapons",29,317,5,48,5,48
"Maine","Disorderly conduct",80,1558,13,165,49,130
"Maine","Burglary",38,876,12,446,50,412
"Maine","Aggravated assault",19,368,9,69,12,66
"Maine","Fraud",15,838,0,31,8,24
"Maine","Forgery and counterfeiting",14,329,1,19,9,11
"Maine","Sex offenses",10,216,0,54,4,50
"Maine","Motor vehicle theft",11,185,2,93,21,75
"Maine","Stolen property",3,152,3,36,6,34
"Maine","Vandalism",42,1093,13,575,82,507
"Maine","Runaways",0,0,6,135,90,51
"Maine","Rape",2,57,1,21,0,22
"Maine","Family offenses",23,351,1,2,0,3
"Maine","Robbery",16,141,4,23,4,23
"Maine","Curfew and Loitering",0,0,9,65,12,62
"Maine","Arson",1,40,0,35,4,31
"Maine","Prostitution",1,24,0,3,1,2
"Maine","Sale-Synthetic narcotics",2,138,0,8,2,6
"Maine","Embezzlement",2,45,0,1,0,1
"Maine","Gambling (total)",1,7,0,1,0,1
"Maine","Number and lottery",0,6,0,1,0,1
"Maine","Drunkenness",0,57,0,15,7,9
"Maine","All other gambling",1,1,0,0,0,0
