"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Minnesota","",0,0,0,0,0,0
"Minnesota","Larceny",3266,8602,2091,4923,3268,4338
"Minnesota","Other assaults",4246,9382,1785,2436,1395,3170
"Minnesota","Fraud",911,2687,99,134,95,153
"Minnesota","Vandalism",688,2037,626,1747,322,2208
"Minnesota","Total Drug Violations",5104,10456,661,2305,538,2551
"Minnesota","Sale (subtotal)",852,3955,97,1037,258,907
"Minnesota","Sale-Other drugs",182,1097,15,132,46,107
"Minnesota","Possession (subtotal)",4252,6502,564,1268,280,1644
"Minnesota","Possession-Other drugs",525,1566,30,41,15,61
"Minnesota","Family offenses",243,516,11,14,13,12
"Minnesota","DUI",1779,24462,18,676,212,526
"Minnesota","Liquor",1637,18308,426,6689,3192,4461
"Minnesota","All other non-traffic offenses",10537,19487,1837,4276,1888,4828
"Minnesota","Motor vehicle theft",536,660,238,242,91,543
"Minnesota","Stolen property",595,964,176,251,72,402
"Minnesota","Weapons",874,623,480,395,89,868
"Minnesota","Burglary",588,1722,304,831,101,1128
"Minnesota","Possession-Marijuana",1702,3447,443,1156,244,1435
"Minnesota","Disorderly conduct",2301,6094,2510,2406,1668,3579
"Minnesota","Aggravated assault",1458,1818,248,434,199,658
"Minnesota","Sex offenses",306,801,77,223,25,288
"Minnesota","Runaways",0,0,1941,1781,2570,1763
"Minnesota","Sale-Marijuana",220,2657,70,891,208,778
"Minnesota","Possession-Opiates",1972,1113,87,46,15,122
"Minnesota","Murder and manslaughter",28,47,3,3,0,7
"Minnesota","Robbery",608,257,336,62,60,364
"Minnesota","Forgery and counterfeiting",655,1217,34,89,43,83
"Minnesota","Possession-Synthetic narcotics",53,378,4,25,6,26
"Minnesota","Vagrancy",182,94,15,3,2,16
"Minnesota","Arson",15,73,40,98,21,142
"Minnesota","Embezzlement",6,16,1,0,1,0
"Minnesota","Sale-Opiates",438,183,11,12,4,19
"Minnesota","Prostitution",646,367,29,2,20,15
"Minnesota","Gambling (total)",1,22,4,0,0,4
"Minnesota","All other gambling",0,10,0,0,0,0
"Minnesota","Number and lottery",1,12,0,0,0,0
"Minnesota","Sale-Synthetic narcotics",12,18,1,3,0,4
"Minnesota","Curfew and Loitering",0,0,3367,978,1811,3050
"Minnesota","Bookmaking (horse and sports)",0,0,4,0,0,4
"Minnesota","Rape",75,21,9,3,0,12
