"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Missouri","Murder and manslaughter",207,112,23,10,4,29
"Missouri","Rape",312,334,47,49,0,97
"Missouri","Robbery",1240,585,518,109,49,583
"Missouri","Aggravated assault",5196,5767,675,774,344,1114
"Missouri","Burglary",1836,3279,809,1268,162,1920
"Missouri","Larceny",9359,13816,2836,4432,3101,4231
"Missouri","Motor vehicle theft",1440,1711,654,413,173,898
"Missouri","Other assaults",10824,19333,3479,4275,2513,5260
"Missouri","Arson",82,172,44,172,37,180
"Missouri","Forgery and counterfeiting",1155,1919,27,88,50,69
"Missouri","Fraud",1020,3479,45,47,31,62
"Missouri","Stolen property",1384,1337,340,205,88,457
"Missouri","Vandalism",2453,3036,901,1743,386,2267
"Missouri","Weapons",1648,1655,423,408,89,745
"Missouri","Prostitution",494,555,3,8,2,9
"Missouri","Sex offenses",797,1631,197,345,41,502
"Missouri","Total Drug Violations",13604,26846,1248,3297,828,3744
"Missouri","Sale (subtotal)",2359,3219,159,299,110,350
"Missouri","Sale-Marijuana",414,1140,38,128,35,133
"Missouri","Sale-Other drugs",1375,1001,62,70,29,103
"Missouri","Possession (subtotal)",11245,23626,1089,2998,718,3394
"Missouri","Possession-Opiates",2080,1548,93,81,26,150
"Missouri","Possession-Marijuana",4221,14995,527,2320,483,2382
"Missouri","Possession-Synthetic narcotics",131,1717,8,129,64,73
"Missouri","Possession-Other drugs",4813,5366,461,468,145,789
"Missouri","Family offenses",1477,3605,21,85,27,80
"Missouri","DUI",3145,35260,23,638,167,495
"Missouri","Liquor",1823,10515,154,2696,892,1972
"Missouri","Disorderly conduct",5931,7230,1546,1453,1043,1970
"Missouri","Vagrancy",192,54,29,68,20,77
"Missouri","All other non-traffic offenses",42992,73772,2240,5726,1997,6005
"Missouri","Curfew and Loitering",0,0,486,1430,632,1300
"Missouri","Runaways",0,0,990,2371,1805,1592
"Missouri","Manslaughter by negligence",16,64,0,5,0,5
"Missouri","Embezzlement",44,100,12,10,11,11
"Missouri","Sale-Synthetic narcotics",45,804,7,70,24,53
"Missouri","Gambling (total)",58,95,9,26,12,23
"Missouri","All other gambling",58,94,9,26,12,23
"Missouri","Sale-Opiates",525,274,52,31,22,61
"Missouri","",0,0,0,0,0,0
"Missouri","Drunkenness",64,39,0,11,3,8
"Missouri","Number and lottery",0,1,0,0,0,0
