"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"New Jersey","Aggravated assault",3195,4176,835,806,371,1288
"New Jersey","Stolen property",1908,1729,919,515,156,1289
"New Jersey","Vandalism",1074,2799,908,2777,402,3327
"New Jersey","Weapons",2434,1952,938,1063,180,1861
"New Jersey","Sex offenses",371,1012,167,168,16,326
"New Jersey","Total Drug Violations",22513,24808,2506,3960,795,5737
"New Jersey","Possession (subtotal)",15618,20864,1322,3405,689,4096
"New Jersey","Possession-Opiates",9398,9389,559,258,73,748
"New Jersey","Possession-Marijuana",5393,9731,728,2927,552,3154
"New Jersey","Possession-Synthetic narcotics",161,570,12,53,14,52
"New Jersey","DUI",2578,21728,15,346,69,299
"New Jersey","Disorderly conduct",5804,10255,2141,3164,1310,4052
"New Jersey","All other non-traffic offenses",65756,70733,4308,5340,2373,7367
"New Jersey","Forgery and counterfeiting",652,1215,16,38,15,40
"New Jersey","Possession-Other drugs",666,1174,23,167,50,142
"New Jersey","Family offenses",6934,8275,15,23,16,23
"New Jersey","Other assaults",7104,15368,2507,2579,1731,3402
"New Jersey","Larceny",6140,11215,2142,3597,2339,3555
"New Jersey","Murder and manslaughter",191,91,25,4,2,27
"New Jersey","Rape",166,196,33,26,0,59
"New Jersey","Robbery",1637,1116,1200,442,134,1521
"New Jersey","Burglary",1647,2713,633,1092,159,1598
"New Jersey","Motor vehicle theft",256,492,144,193,20,320
"New Jersey","Fraud",1635,2988,21,83,29,77
"New Jersey","Prostitution",815,1062,20,11,16,16
"New Jersey","Sale (subtotal)",6893,3922,1186,553,106,1641
"New Jersey","Sale-Opiates",5617,2323,988,190,71,1107
"New Jersey","Sale-Marijuana",1048,1157,183,308,29,469
"New Jersey","Gambling (total)",155,137,11,4,0,15
"New Jersey","All other gambling",149,115,11,4,0,15
"New Jersey","Liquor",527,4531,174,2685,900,2004
"New Jersey","Vagrancy",888,691,30,16,13,36
"New Jersey","Arson",38,114,63,224,28,267
"New Jersey","Sale-Other drugs",111,158,4,21,3,22
"New Jersey","Sale-Synthetic narcotics",117,284,11,34,3,43
"New Jersey","Manslaughter by negligence",2,16,1,4,1,4
"New Jersey","",0,0,0,0,0,0
"New Jersey","Curfew and Loitering",0,0,3438,2858,1872,4450
"New Jersey","Runaways",0,0,2718,2243,2821,2194
"New Jersey","Embezzlement",39,73,2,4,4,3
"New Jersey","Drunkenness",0,3,0,0,0,0
"New Jersey","Bookmaking (horse and sports)",4,11,0,0,0,0
"New Jersey","Number and lottery",2,11,0,0,0,0
"New Jersey","Suspicion",0,0,0,5,0,5
