"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Oklahoma","",0,0,0,0,0,0
"Oklahoma","Weapons",839,1313,161,203,27,366
"Oklahoma","Total Drug Violations",4933,14491,425,1291,333,1475
"Oklahoma","Sale (subtotal)",921,2105,74,95,35,145
"Oklahoma","Sale-Other drugs",116,408,8,16,5,20
"Oklahoma","DUI",1239,14268,10,251,57,220
"Oklahoma","All other non-traffic offenses",7258,24533,826,1982,833,2155
"Oklahoma","Other assaults",1911,6274,425,886,457,946
"Oklahoma","Drunkenness",2223,16576,37,655,198,618
"Oklahoma","Larceny",1636,4632,1017,1889,1405,1694
"Oklahoma","Possession (subtotal)",4012,12386,351,1196,298,1330
"Oklahoma","Possession-Marijuana",2169,7114,277,1018,247,1123
"Oklahoma","Sale-Synthetic narcotics",149,797,7,15,4,18
"Oklahoma","Possession-Opiates",1326,1564,57,47,16,90
"Oklahoma","Possession-Other drugs",190,1359,10,58,13,58
"Oklahoma","Possession-Synthetic narcotics",327,2349,7,72,22,58
"Oklahoma","Arson",41,111,39,162,22,185
"Oklahoma","Stolen property",464,1352,159,194,65,299
"Oklahoma","Fraud",503,1905,38,39,24,56
"Oklahoma","Sex offenses",132,514,22,45,6,65
"Oklahoma","Aggravated assault",1023,2461,181,292,115,401
"Oklahoma","Motor vehicle theft",162,553,88,133,43,198
"Oklahoma","Burglary",478,1531,256,538,83,783
"Oklahoma","Liquor",266,2770,40,427,164,329
"Oklahoma","Vandalism",223,584,106,403,73,481
"Oklahoma","Embezzlement",116,334,27,29,24,33
"Oklahoma","Disorderly conduct",646,1261,573,532,439,724
"Oklahoma","Runaways",0,0,799,2121,1844,1364
"Oklahoma","Rape",50,173,14,23,0,39
"Oklahoma","Curfew and Loitering",0,0,531,1654,713,1582
"Oklahoma","Forgery and counterfeiting",172,718,8,12,7,14
"Oklahoma","Sale-Marijuana",315,693,32,51,17,75
"Oklahoma","Family offenses",139,594,10,23,14,24
"Oklahoma","Sale-Opiates",341,207,27,13,9,32
"Oklahoma","Robbery",253,301,110,54,19,153
"Oklahoma","Murder and manslaughter",51,87,13,6,1,18
"Oklahoma","Manslaughter by negligence",2,9,0,2,0,2
"Oklahoma","Prostitution",117,303,0,2,2,0
"Oklahoma","Gambling (total)",5,37,1,4,2,3
"Oklahoma","Bookmaking (horse and sports)",5,26,0,1,1,0
"Oklahoma","All other gambling",0,11,1,3,1,3
