"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Oregon","",0,0,0,0,0,0
"Oregon","Larceny",1331,12894,554,4806,2337,3232
"Oregon","Vandalism",144,2908,103,1991,274,1875
"Oregon","Total Drug Violations",2036,16143,146,2094,587,1730
"Oregon","Possession (subtotal)",1796,14838,120,1910,528,1571
"Oregon","Possession-Opiates",1308,2190,43,108,48,104
"Oregon","DUI",409,15804,4,171,49,130
"Oregon","All other non-traffic offenses",1053,16635,217,3617,1125,2849
"Oregon","Other assaults",1351,11481,238,2097,728,1689
"Oregon","Fraud",126,1419,21,104,29,101
"Oregon","Possession-Marijuana",284,5618,72,1578,399,1302
"Oregon","Liquor",460,11206,123,4318,1770,2847
"Oregon","Disorderly conduct",526,5370,226,1276,418,1148
"Oregon","Motor vehicle theft",118,1468,36,299,96,268
"Oregon","Aggravated assault",286,2304,61,455,125,414
"Oregon","Sex offenses",58,945,11,199,14,200
"Oregon","Burglary",121,2018,38,762,85,737
"Oregon","Forgery and counterfeiting",87,1252,5,45,15,36
"Oregon","Family offenses",12,513,1,8,4,5
"Oregon","Robbery",153,648,78,123,48,160
"Oregon","Rape",20,232,4,26,0,33
"Oregon","Weapons",145,1509,42,288,25,315
"Oregon","Murder and manslaughter",22,81,3,4,0,7
"Oregon","Possession-Other drugs",169,6338,4,194,72,141
"Oregon","Curfew and Loitering",0,0,321,2289,878,1814
"Oregon","Arson",7,89,9,230,34,213
"Oregon","Prostitution",99,536,6,6,13,5
"Oregon","Runaways",0,0,215,1881,1225,946
"Oregon","Manslaughter by negligence",1,11,0,0,0,0
"Oregon","Stolen property",34,617,8,68,13,66
"Oregon","Sale (subtotal)",240,1258,25,172,53,149
"Oregon","Sale-Other drugs",12,657,2,41,12,31
"Oregon","Sale-Marijuana",29,373,6,107,28,90
"Oregon","Embezzlement",1,61,1,1,0,2
"Oregon","Possession-Synthetic narcotics",35,692,1,30,9,24
"Oregon","Sale-Opiates",198,205,17,6,9,14
"Oregon","Sale-Synthetic narcotics",1,23,0,18,4,14
"Oregon","Vagrancy",0,6,0,0,0,0
"Oregon","Gambling (total)",8,1,3,0,0,3
"Oregon","All other gambling",8,1,3,0,0,3
