"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Vermont","Family offenses",9,350,2,10,3,10
"Vermont","All other non-traffic offenses",150,3367,14,269,66,226
"Vermont","Total Drug Violations",105,1526,13,195,42,175
"Vermont","Possession (subtotal)",69,1264,9,175,34,158
"Vermont","Possession-Marijuana",29,789,6,129,22,118
"Vermont","DUI",56,3925,1,47,11,39
"Vermont","Liquor",15,542,5,247,115,139
"Vermont","Other assaults",60,1454,12,289,104,209
"Vermont","Disorderly conduct",49,865,9,197,40,174
"Vermont","Sale (subtotal)",32,224,4,19,8,16
"Vermont","Sale-Marijuana",2,80,0,6,1,5
"Vermont","Possession-Opiates",25,137,1,4,2,3
"Vermont","Vandalism",7,324,4,139,16,127
"Vermont","Possession-Other drugs",11,270,2,41,10,36
"Vermont","",0,0,0,0,0,0
"Vermont","Sale-Opiates",21,72,1,1,1,1
"Vermont","Sale-Synthetic narcotics",0,13,0,3,1,2
"Vermont","Sale-Other drugs",9,59,3,9,5,8
"Vermont","Larceny",22,1044,4,282,122,168
"Vermont","Fraud",5,487,1,15,4,12
"Vermont","Burglary",5,291,7,71,9,70
"Vermont","Forgery and counterfeiting",2,122,0,3,2,1
"Vermont","Arson",0,13,0,5,0,5
"Vermont","Rape",8,43,0,22,2,20
"Vermont","Aggravated assault",38,293,1,40,5,37
"Vermont","Sex offenses",0,39,0,12,2,11
"Vermont","Motor vehicle theft",3,72,5,37,9,33
"Vermont","Stolen property",3,139,2,27,3,27
"Vermont","Murder and manslaughter",1,6,0,0,0,0
"Vermont","Possession-Synthetic narcotics",4,68,0,1,0,1
"Vermont","Robbery",2,21,0,1,0,1
"Vermont","Drunkenness",0,8,0,2,1,1
"Vermont","Embezzlement",0,43,0,0,0,0
"Vermont","Weapons",0,4,2,11,1,13
"Vermont","Vagrancy",0,2,0,0,0,0
"Vermont","Curfew and Loitering",0,0,0,2,0,2
"Vermont","Runaways",0,0,0,7,4,3
"Vermont","Prostitution",0,3,0,0,0,0
