"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Michigan","Murder and manslaughter",95,4,21,0,0,21
"Michigan","Rape",51,4,14,0,0,14
"Michigan","Robbery",607,53,335,15,18,334
"Michigan","Aggravated assault",2053,207,349,11,111,251
"Michigan","Burglary",823,113,321,12,20,315
"Michigan","Larceny",893,105,136,9,32,113
"Michigan","Motor vehicle theft",1233,146,647,27,52,624
"Michigan","Other assaults",2170,172,367,16,121,264
"Michigan","Arson",37,4,10,0,2,8
"Michigan","Forgery and counterfeiting",230,10,6,0,0,6
"Michigan","Fraud",343,28,11,0,2,9
"Michigan","Embezzlement",12,1,0,0,0,0
"Michigan","Stolen property",328,40,79,5,6,79
"Michigan","Vandalism",272,40,71,4,9,67
"Michigan","Weapons",1852,112,387,24,32,381
"Michigan","Prostitution",205,75,5,0,1,4
"Michigan","Sex offenses",39,1,13,0,1,12
"Michigan","Total Drug Violations",3402,220,387,25,19,395
"Michigan","Sale (subtotal)",882,29,89,1,0,91
"Michigan","Sale-Opiates",609,18,63,0,0,63
"Michigan","Sale-Marijuana",248,9,25,1,0,27
"Michigan","Sale-Other drugs",17,1,1,0,0,1
"Michigan","Possession (subtotal)",2520,191,298,24,19,304
"Michigan","Possession-Opiates",1395,125,140,9,5,144
"Michigan","Possession-Marijuana",1048,47,149,15,12,153
"Michigan","Possession-Other drugs",39,11,5,0,1,4
"Michigan","Family offenses",55,5,0,0,0,0
"Michigan","DUI",1178,422,3,3,2,4
"Michigan","Disorderly conduct",1075,171,279,9,81,212
"Michigan","Vagrancy",151,20,0,0,0,0
"Michigan","All other non-traffic offenses",4331,543,463,18,86,401
"Michigan","Curfew and Loitering",0,0,530,29,99,468
"Michigan","Possession-Synthetic narcotics",38,8,4,0,1,3
"Michigan","Drunkenness",5,2,0,0,0,0
"Michigan","Gambling (total)",38,0,4,0,0,4
"Michigan","Liquor",7,2,2,0,0,2
"Michigan","Sale-Synthetic narcotics",8,1,0,0,0,0
"Michigan","Runaways",0,0,2,2,4,0
"Michigan","Manslaughter by negligence",1,0,0,0,0,0
