"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Connecticut","Robbery",535,600,191,88,24,255
"Connecticut","Larceny",2693,7200,1102,1805,1331,1619
"Connecticut","Other assaults",5511,11636,1627,2342,1597,2425
"Connecticut","Fraud",404,1061,22,42,22,43
"Connecticut","Vandalism",404,1287,252,836,161,942
"Connecticut","Weapons",432,715,154,212,29,342
"Connecticut","Total Drug Violations",4903,9202,505,1230,226,1535
"Connecticut","Possession (subtotal)",3954,7877,413,1061,191,1307
"Connecticut","Possession-Opiates",1811,3777,102,113,22,196
"Connecticut","Possession-Marijuana",1876,3479,298,891,157,1053
"Connecticut","Family offenses",300,1029,23,53,22,54
"Connecticut","DUI",760,8153,3,100,24,81
"Connecticut","Disorderly conduct",3514,9275,1350,2335,1402,2315
"Connecticut","All other non-traffic offenses",9161,21769,1182,2354,827,2777
"Connecticut","Forgery and counterfeiting",320,514,4,23,11,18
"Connecticut","Aggravated assault",1239,2261,368,462,287,552
"Connecticut","Sale (subtotal)",914,1174,89,148,28,211
"Connecticut","Sale-Marijuana",158,376,35,94,14,117
"Connecticut","Sex offenses",124,328,50,93,11,136
"Connecticut","Liquor",68,806,18,340,128,237
"Connecticut","Motor vehicle theft",217,368,143,182,42,288
"Connecticut","Possession-Other drugs",118,279,7,33,7,33
"Connecticut","Burglary",575,1564,180,467,62,602
"Connecticut","Sale-Opiates",707,718,51,39,8,82
"Connecticut","Possession-Synthetic narcotics",149,342,6,24,5,25
"Connecticut","Murder and manslaughter",32,34,7,0,0,7
"Connecticut","",0,0,0,0,0,0
"Connecticut","Embezzlement",61,152,7,4,2,9
"Connecticut","Prostitution",116,341,0,1,1,0
"Connecticut","Stolen property",141,286,28,40,7,65
"Connecticut","Manslaughter by negligence",1,7,0,0,0,0
"Connecticut","Arson",36,126,16,71,14,74
"Connecticut","Rape",65,133,9,29,0,38
"Connecticut","Curfew and Loitering",0,0,26,20,10,36
"Connecticut","Gambling (total)",9,12,3,1,0,4
"Connecticut","All other gambling",5,2,3,1,0,4
"Connecticut","Sale-Other drugs",23,31,2,8,2,8
"Connecticut","Sale-Synthetic narcotics",26,49,1,7,4,4
"Connecticut","Runaways",0,0,2,16,9,9
"Connecticut","Vagrancy",22,39,0,0,0,0
"Connecticut","Number and lottery",0,2,0,0,0,0
"Connecticut","Drunkenness",0,2,0,1,0,1
"Connecticut","Bookmaking (horse and sports)",2,0,0,0,0,0
