"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Indiana","",0,0,0,0,0,0
"Indiana","Other assaults",3345,8851,1174,2289,1142,2330
"Indiana","Drunkenness",3721,14136,93,452,140,406
"Indiana","DUI",2780,21481,8,214,43,179
"Indiana","Liquor",581,7708,206,2768,1158,1834
"Indiana","Sex offenses",292,1094,81,144,15,210
"Indiana","Total Drug Violations",7662,13234,673,1911,451,2139
"Indiana","Possession (subtotal)",5563,10833,562,1620,383,1804
"Indiana","Possession-Marijuana",3213,6686,461,1304,270,1500
"Indiana","Larceny",4659,11410,1813,4517,2841,3519
"Indiana","Disorderly conduct",2515,3190,1373,1283,948,1713
"Indiana","Runaways",0,0,1067,2508,1947,1639
"Indiana","All other non-traffic offenses",17750,34985,2555,4101,2035,4634
"Indiana","Burglary",820,2222,329,747,104,974
"Indiana","Sale (subtotal)",2082,2264,111,284,68,328
"Indiana","Sale-Marijuana",504,837,60,154,24,190
"Indiana","Motor vehicle theft",662,820,343,285,78,550
"Indiana","Stolen property",2309,2702,792,653,581,864
"Indiana","Fraud",618,1420,29,49,24,54
"Indiana","Weapons",1075,585,158,156,19,297
"Indiana","Curfew and Loitering",0,0,500,673,369,805
"Indiana","Vandalism",323,1057,236,1100,183,1155
"Indiana","Aggravated assault",1584,2845,328,392,207,516
"Indiana","Sale-Opiates",1429,686,46,26,14,58
"Indiana","Sale-Other drugs",101,374,3,72,19,56
"Indiana","Possession-Opiates",1809,1590,79,19,6,92
"Indiana","Robbery",890,725,272,74,20,326
"Indiana","Forgery and counterfeiting",586,1160,10,34,18,26
"Indiana","Possession-Other drugs",496,1595,19,195,79,135
"Indiana","Possession-Synthetic narcotics",45,962,3,102,28,77
"Indiana","Family offenses",222,1206,92,229,130,192
"Indiana","Arson",23,112,18,60,3,75
"Indiana","Prostitution",463,1390,6,10,10,6
"Indiana","Murder and manslaughter",133,79,14,4,1,17
"Indiana","Rape",98,145,18,19,0,37
"Indiana","Sale-Synthetic narcotics",48,367,2,32,11,24
"Indiana","Manslaughter by negligence",12,6,0,0,0,0
"Indiana","Gambling (total)",85,62,5,1,0,6
"Indiana","Bookmaking (horse and sports)",0,0,0,0,0,0
"Indiana","All other gambling",85,60,5,1,0,6
"Indiana","Suspicion",32,103,1,8,2,7
"Indiana","Vagrancy",11,8,3,4,3,4
"Indiana","Embezzlement",4,6,1,2,0,3
