"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Massachusetts","",0,0,0,0,0,0
"Massachusetts","Aggravated assault",2669,5656,535,842,393,1046
"Massachusetts","Burglary",621,2333,173,613,81,729
"Massachusetts","Larceny",2222,7956,548,1515,864,1366
"Massachusetts","Other assaults",3553,13713,654,1815,938,1624
"Massachusetts","Forgery and counterfeiting",182,629,2,24,8,20
"Massachusetts","Fraud",247,1169,10,32,22,24
"Massachusetts","Stolen property",289,784,97,190,37,256
"Massachusetts","Vandalism",377,2143,161,795,107,900
"Massachusetts","Weapons",507,591,129,150,23,275
"Massachusetts","Total Drug Violations",5000,13367,565,1741,334,2063
"Massachusetts","Sale (subtotal)",2091,3169,182,302,39,472
"Massachusetts","Sale-Opiates",1654,2070,93,76,18,158
"Massachusetts","Sale-Marijuana",381,765,83,195,12,285
"Massachusetts","Possession (subtotal)",2899,10140,381,1429,292,1581
"Massachusetts","Possession-Opiates",1162,3909,46,90,26,114
"Massachusetts","Possession-Marijuana",1616,5288,332,1244,236,1398
"Massachusetts","DUI",695,10992,2,144,34,113
"Massachusetts","Liquor",246,3949,32,968,327,698
"Massachusetts","Disorderly conduct",1454,5279,557,923,418,1104
"Massachusetts","All other non-traffic offenses",4875,25916,762,2884,1087,2704
"Massachusetts","Motor vehicle theft",219,564,50,152,41,170
"Massachusetts","Sex offenses",133,402,25,80,6,101
"Massachusetts","Arson",7,78,4,79,3,88
"Massachusetts","Murder and manslaughter",35,26,2,3,0,6
"Massachusetts","Embezzlement",13,104,0,6,3,3
"Massachusetts","Possession-Other drugs",74,496,3,63,20,47
"Massachusetts","Rape",75,201,6,22,1,30
"Massachusetts","Sale-Other drugs",15,125,3,25,8,20
"Massachusetts","Robbery",628,762,332,166,54,461
"Massachusetts","Sale-Synthetic narcotics",41,209,3,6,1,9
"Massachusetts","Possession-Synthetic narcotics",47,447,0,32,10,22
"Massachusetts","Drunkenness",329,6829,7,331,108,231
"Massachusetts","Family offenses",151,1278,26,125,104,83
"Massachusetts","Runaways",0,0,61,228,198,104
"Massachusetts","Suspicion",22,124,1,21,6,16
"Massachusetts","Prostitution",229,913,2,2,4,4
"Massachusetts","Gambling (total)",5,14,0,0,0,0
"Massachusetts","Manslaughter by negligence",1,8,1,0,0,1
"Massachusetts","Vagrancy",1,12,0,1,0,1
"Massachusetts","Curfew and Loitering",0,0,0,6,0,7
"Massachusetts","Bookmaking (horse and sports)",5,0,0,0,0,0
