"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Michigan","Other assaults",7885,17154,1597,2758,1628,2843
"Michigan","Fraud",1913,3746,153,307,246,233
"Michigan","Embezzlement",400,814,18,29,22,26
"Michigan","Total Drug Violations",12347,17998,1189,2506,551,3240
"Michigan","Sale (subtotal)",3563,3384,276,329,85,530
"Michigan","Sale-Opiates",2129,931,126,19,13,135
"Michigan","Sale-Synthetic narcotics",46,140,5,14,5,14
"Michigan","All other non-traffic offenses",31076,62142,2210,4491,1698,5225
"Michigan","Sale-Other drugs",218,749,13,94,26,81
"Michigan","Possession (subtotal)",8700,14342,907,2156,462,2687
"Michigan","Possession-Marijuana",4986,8634,661,1680,326,2084
"Michigan","DUI",5387,34911,48,632,197,499
"Michigan","Arson",80,112,61,102,15,154
"Michigan","Vandalism",723,1728,318,1162,145,1367
"Michigan","Rape",150,345,28,80,3,108
"Michigan","Aggravated assault",4423,4587,833,693,425,1130
"Michigan","Sex offenses",123,668,72,228,17,294
"Michigan","Liquor",1754,15679,255,4760,2042,3138
"Michigan","Larceny",7077,11542,3033,5175,3746,4786
"Michigan","Possession-Opiates",2976,3133,195,67,24,245
"Michigan","Sale-Marijuana",1170,1564,132,202,41,300
"Michigan","Possession-Other drugs",565,2031,42,345,97,299
"Michigan","Forgery and counterfeiting",630,503,14,19,5,30
"Michigan","Weapons",2803,1319,653,314,67,911
"Michigan","Motor vehicle theft",1613,739,837,263,115,996
"Michigan","Disorderly conduct",2583,5836,830,704,448,1116
"Michigan","Burglary",1897,2520,735,1006,159,1623
"Michigan","Drunkenness",58,357,0,10,5,5
"Michigan","",0,0,0,0,0,0
"Michigan","Robbery",1350,577,674,107,45,745
"Michigan","Stolen property",914,836,286,228,53,470
"Michigan","Possession-Synthetic narcotics",173,544,9,64,15,59
"Michigan","Murder and manslaughter",206,68,18,8,3,23
"Michigan","Family offenses",937,2243,11,7,10,9
"Michigan","Runaways",0,0,208,1167,783,658
"Michigan","Manslaughter by negligence",2,9,0,0,0,0
"Michigan","Curfew and Loitering",0,0,535,442,249,754
"Michigan","Vagrancy",268,147,0,0,0,0
"Michigan","Prostitution",228,352,6,5,8,3
"Michigan","Gambling (total)",66,65,21,0,0,22
