"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Nebraska","Larceny",1170,3906,689,2210,1215,1754
"Nebraska","Liquor",958,8175,98,2293,1044,1449
"Nebraska","All other non-traffic offenses",3633,12503,356,1871,691,1613
"Nebraska","DUI",779,11962,4,274,89,194
"Nebraska","Motor vehicle theft",84,213,22,80,20,86
"Nebraska","Total Drug Violations",2023,7005,172,996,238,945
"Nebraska","Possession (subtotal)",1664,6162,156,911,221,859
"Nebraska","Possession-Marijuana",1439,4627,136,762,171,736
"Nebraska","Sex offenses",91,392,30,98,15,117
"Nebraska","Possession-Other drugs",66,1116,11,125,44,96
"Nebraska","Other assaults",1515,5364,404,1463,558,1373
"Nebraska","Rape",24,99,7,14,0,22
"Nebraska","Aggravated assault",366,725,46,93,28,116
"Nebraska","Fraud",302,1420,20,76,43,57
"Nebraska","Vandalism",370,1285,170,959,149,1014
"Nebraska","Robbery",127,80,54,24,6,72
"Nebraska","Arson",3,43,15,41,5,52
"Nebraska","Sale (subtotal)",260,733,8,60,11,59
"Nebraska","Sale-Marijuana",64,217,1,15,4,13
"Nebraska","Sale-Other drugs",83,308,4,30,4,31
"Nebraska","Disorderly conduct",838,2506,325,585,274,669
"Nebraska","Forgery and counterfeiting",145,387,3,21,11,13
"Nebraska","Gambling (total)",3,8,0,0,0,0
"Nebraska","Burglary",104,504,75,201,28,260
"Nebraska","Stolen property",192,510,76,98,31,147
"Nebraska","Weapons",335,550,78,118,12,185
"Nebraska","Family offenses",303,1226,1,53,32,23
"Nebraska","",0,0,0,0,0,0
"Nebraska","Sale-Synthetic narcotics",5,139,0,8,1,7
"Nebraska","Possession-Synthetic narcotics",6,202,0,12,1,11
"Nebraska","Runaways",0,0,26,399,232,203
"Nebraska","Embezzlement",12,73,1,15,8,8
"Nebraska","Sale-Opiates",108,69,3,7,2,8
"Nebraska","Possession-Opiates",153,217,9,12,5,16
"Nebraska","Curfew and Loitering",0,0,30,372,137,279
"Nebraska","Manslaughter by negligence",1,13,1,1,1,1
"Nebraska","Murder and manslaughter",16,23,3,2,1,4
"Nebraska","Prostitution",68,107,0,1,1,0
"Nebraska","All other gambling",3,0,0,0,0,0
"Nebraska","Vagrancy",9,32,0,0,0,0
"Nebraska","Bookmaking (horse and sports)",0,1,0,0,0,0
