"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Tennessee","Aggravated assault",4026,6717,678,566,330,933
"Tennessee","Burglary",1655,3938,728,654,92,1313
"Tennessee","Larceny",7125,17615,2181,2685,2238,2679
"Tennessee","Motor vehicle theft",900,1511,238,254,84,411
"Tennessee","Other assaults",9359,20695,3345,2519,2303,3608
"Tennessee","Fraud",2467,11211,68,109,79,98
"Tennessee","Vandalism",1051,2630,555,972,226,1316
"Tennessee","Prostitution",1088,1086,34,5,38,2
"Tennessee","Total Drug Violations",15691,24362,1328,2200,604,2970
"Tennessee","Sale (subtotal)",4869,5471,278,239,80,442
"Tennessee","Sale-Opiates",2721,1203,89,21,11,100
"Tennessee","Sale-Synthetic narcotics",119,690,2,24,6,20
"Tennessee","Sale-Other drugs",341,1520,10,59,25,44
"Tennessee","Possession (subtotal)",10622,18584,1048,1948,518,2519
"Tennessee","Possession-Opiates",3506,3047,151,46,20,177
"Tennessee","Possession-Synthetic narcotics",175,1574,12,127,49,93
"Tennessee","Possession-Other drugs",638,3748,35,253,90,202
"Tennessee","DUI",3082,26450,8,201,40,177
"Tennessee","Liquor",1345,6464,94,1399,516,1001
"Tennessee","Drunkenness",3059,20425,115,296,95,323
"Tennessee","All other non-traffic offenses",30639,75914,2215,4036,1823,4512
"Tennessee","Runaways",0,0,825,1448,1195,1099
"Tennessee","Rape",141,237,23,41,1,63
"Tennessee","Robbery",1500,1019,494,72,55,511
"Tennessee","Sale-Marijuana",1688,2058,177,135,38,278
"Tennessee","Possession-Marijuana",6303,10215,850,1522,359,2047
"Tennessee","Family offenses",643,1706,6,33,15,24
"Tennessee","Sex offenses",174,544,63,101,11,156
"Tennessee","Disorderly conduct",3960,4344,3125,1090,1705,2540
"Tennessee","Forgery and counterfeiting",1110,2478,34,57,31,61
"Tennessee","Murder and manslaughter",193,114,13,3,2,14
"Tennessee","Stolen property",308,525,35,29,10,56
"Tennessee","Weapons",1466,1385,517,271,116,681
"Tennessee","Embezzlement",285,874,12,30,12,30
"Tennessee","Arson",26,129,34,57,11,83
"Tennessee","",0,0,0,0,0,0
"Tennessee","Curfew and Loitering",0,0,909,1150,654,1437
"Tennessee","Vagrancy",27,36,0,0,0,0
"Tennessee","Manslaughter by negligence",4,9,1,0,1,1
"Tennessee","Gambling (total)",220,86,34,0,0,34
