"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"West Virginia","Other assaults",920,5292,82,400,169,319
"West Virginia","DUI",361,6718,1,32,7,27
"West Virginia","All other non-traffic offenses",2417,12473,87,547,127,526
"West Virginia","Fraud",70,1095,1,7,5,3
"West Virginia","Vandalism",86,595,12,110,14,109
"West Virginia","Total Drug Violations",1103,3517,62,190,57,198
"West Virginia","Possession (subtotal)",729,2817,49,157,48,161
"West Virginia","Possession-Marijuana",416,1699,29,124,36,119
"West Virginia","",0,0,0,0,0,0
"West Virginia","Liquor",131,1366,11,178,64,133
"West Virginia","Drunkenness",762,4143,3,23,9,19
"West Virginia","Disorderly conduct",273,1158,7,44,16,37
"West Virginia","Larceny",444,3272,72,413,235,254
"West Virginia","Forgery and counterfeiting",29,336,0,3,1,2
"West Virginia","Burglary",60,546,8,76,5,79
"West Virginia","Motor vehicle theft",35,173,8,30,7,31
"West Virginia","Robbery",51,114,7,5,0,12
"West Virginia","Aggravated assault",195,828,10,46,13,45
"West Virginia","Weapons",79,212,10,15,1,24
"West Virginia","Sale (subtotal)",326,670,13,31,9,35
"West Virginia","Sale-Opiates",223,197,9,5,3,11
"West Virginia","Possession-Opiates",253,419,17,9,3,23
"West Virginia","Sex offenses",10,105,2,13,1,14
"West Virginia","Sale-Marijuana",70,248,4,20,3,21
"West Virginia","Prostitution",27,205,0,0,0,0
"West Virginia","Stolen property",54,242,6,15,2,19
"West Virginia","Possession-Synthetic narcotics",26,334,2,12,7,7
"West Virginia","Possession-Other drugs",34,365,1,12,2,12
"West Virginia","Manslaughter by negligence",0,0,0,1,0,1
"West Virginia","Embezzlement",18,105,0,2,2,0
"West Virginia","Family offenses",4,58,0,1,0,2
"West Virginia","Vagrancy",6,8,0,0,0,0
"West Virginia","Curfew and Loitering",0,0,22,57,23,56
"West Virginia","Runaways",0,0,8,63,40,31
"West Virginia","Sale-Other drugs",22,148,0,6,3,3
"West Virginia","Murder and manslaughter",10,27,1,0,0,1
"West Virginia","Rape",4,31,0,0,0,0
"West Virginia","Sale-Synthetic narcotics",11,77,0,0,0,0
"West Virginia","Arson",2,43,2,10,3,9
"West Virginia","Gambling (total)",0,4,0,0,0,0
