"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Ohio","Murder and manslaughter",14,10,4,1,0,6
"Ohio","Rape",26,12,4,1,0,5
"Ohio","Robbery",330,187,132,20,12,140
"Ohio","Aggravated assault",96,60,26,2,10,19
"Ohio","Burglary",237,204,95,37,13,124
"Ohio","Larceny",303,394,61,16,21,58
"Ohio","Motor vehicle theft",121,92,72,13,12,74
"Ohio","Other assaults",789,709,162,103,98,169
"Ohio","Forgery and counterfeiting",122,69,3,0,1,2
"Ohio","Fraud",13,16,2,2,4,0
"Ohio","Stolen property",81,47,28,10,2,37
"Ohio","Vandalism",43,61,15,4,3,16
"Ohio","Weapons",19,10,17,3,2,18
"Ohio","Prostitution",391,878,2,4,5,1
"Ohio","Sex offenses",17,24,8,1,1,9
"Ohio","Total Drug Violations",243,76,5,6,0,11
"Ohio","Sale (subtotal)",101,7,4,0,0,4
"Ohio","Sale-Opiates",77,4,2,0,0,2
"Ohio","Sale-Marijuana",24,3,2,0,0,2
"Ohio","Possession (subtotal)",139,65,1,6,0,7
"Ohio","Possession-Opiates",102,49,1,0,0,1
"Ohio","Possession-Marijuana",30,7,0,5,0,5
"Ohio","Family offenses",28,24,16,6,5,17
"Ohio","Liquor",14,39,1,1,1,1
"Ohio","Disorderly conduct",24,128,7,4,4,7
"Ohio","All other non-traffic offenses",179,209,13,15,4,24
"Ohio","Arson",1,0,1,0,1,0
"Ohio","Possession-Synthetic narcotics",1,1,0,0,0,0
"Ohio","Possession-Other drugs",6,8,0,1,0,1
"Ohio","DUI",8,3,0,0,0,0
"Ohio","Embezzlement",1,6,0,0,0,0
