"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Minnesota","",0,0,0,0,0,0
"Minnesota","Murder and manslaughter",29,6,3,0,0,3
"Minnesota","Rape",43,12,11,3,1,15
"Minnesota","Robbery",246,29,123,3,12,123
"Minnesota","Aggravated assault",521,131,79,10,35,69
"Minnesota","Burglary",208,70,69,18,5,84
"Minnesota","Larceny",475,231,210,41,120,170
"Minnesota","Motor vehicle theft",257,50,55,6,9,70
"Minnesota","Other assaults",1569,579,335,47,115,302
"Minnesota","Arson",6,1,1,0,0,2
"Minnesota","Forgery and counterfeiting",171,64,3,1,1,3
"Minnesota","Fraud",38,34,4,0,2,3
"Minnesota","Stolen property",236,79,49,6,10,55
"Minnesota","Vandalism",350,169,162,36,52,182
"Minnesota","Weapons",466,66,187,29,19,215
"Minnesota","Prostitution",464,266,11,6,11,7
"Minnesota","Sex offenses",26,24,15,0,0,15
"Minnesota","Total Drug Violations",2397,510,258,29,30,282
"Minnesota","Sale (subtotal)",98,8,5,0,0,5
"Minnesota","Sale-Opiates",67,3,2,0,0,2
"Minnesota","Sale-Marijuana",27,2,3,0,0,3
"Minnesota","Sale-Synthetic narcotics",1,3,0,0,0,0
"Minnesota","Sale-Other drugs",3,0,0,0,0,0
"Minnesota","Possession (subtotal)",2299,502,253,29,30,277
"Minnesota","Possession-Opiates",1107,150,44,0,2,46
"Minnesota","Possession-Marijuana",839,207,179,27,21,200
"Minnesota","Possession-Synthetic narcotics",20,39,0,0,0,0
"Minnesota","Possession-Other drugs",333,106,30,2,7,31
"Minnesota","Family offenses",13,3,1,0,1,0
"Minnesota","DUI",334,554,1,3,0,4
"Minnesota","Liquor",1265,1051,54,112,79,154
"Minnesota","Disorderly conduct",1362,684,647,73,272,504
"Minnesota","Vagrancy",136,61,5,0,1,4
"Minnesota","All other non-traffic offenses",4903,1189,631,76,122,636
"Minnesota","Curfew and Loitering",0,0,1582,277,711,1382
"Minnesota","Runaways",0,0,308,119,314,168
