"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Arizona","Murder and manslaughter",19,42,5,9,0,14
"Arizona","Rape",9,33,3,6,0,9
"Arizona","Robbery",155,404,78,144,19,214
"Arizona","Aggravated assault",220,1004,38,194,52,192
"Arizona","Burglary",177,964,81,428,31,490
"Arizona","Larceny",919,4989,351,1327,700,1052
"Arizona","Motor vehicle theft",160,1209,36,375,48,371
"Arizona","Other assaults",661,3124,187,729,343,597
"Arizona","Arson",3,18,6,24,6,24
"Arizona","Forgery and counterfeiting",127,2392,7,24,11,21
"Arizona","Fraud",57,359,5,39,18,28
"Arizona","Embezzlement",6,35,1,5,0,6
"Arizona","Stolen property",32,205,5,31,3,33
"Arizona","Vandalism",244,1286,80,715,112,708
"Arizona","Weapons",229,958,30,135,1,168
"Arizona","Prostitution",308,625,11,8,22,0
"Arizona","Sex offenses",42,352,7,57,5,61
"Arizona","Total Drug Violations",1268,4641,94,709,125,716
"Arizona","Sale (subtotal)",258,997,13,97,19,97
"Arizona","Sale-Opiates",160,395,7,13,3,17
"Arizona","Sale-Marijuana",63,212,6,73,13,72
"Arizona","Sale-Synthetic narcotics",20,183,0,5,3,2
"Arizona","Sale-Other drugs",15,207,0,6,0,6
"Arizona","Possession (subtotal)",1010,3644,81,612,106,619
"Arizona","Possession-Opiates",444,1029,4,52,12,48
"Arizona","Possession-Marijuana",507,1582,77,535,89,551
"Arizona","Possession-Other drugs",50,1008,0,25,5,20
"Arizona","Family offenses",3,20,0,0,0,0
"Arizona","DUI",377,6424,5,147,40,116
"Arizona","Liquor",293,2357,73,800,321,587
"Arizona","Disorderly conduct",263,839,39,157,64,143
"Arizona","Vagrancy",86,386,5,1,1,6
"Arizona","All other non-traffic offenses",3406,14388,54,265,74,250
"Arizona","Curfew and Loitering",0,0,178,1228,559,861
"Arizona","Possession-Synthetic narcotics",9,25,0,0,0,0
"Arizona","Runaways",0,0,1,7,4,4
"Arizona","Manslaughter by negligence",0,4,0,2,0,2
