"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Arkansas","Fraud",3357,4526,7,22,12,19
"Arkansas","All other non-traffic offenses",22314,37435,1146,1591,778,1992
"Arkansas","Larceny",3550,6137,1281,1635,1312,1657
"Arkansas","Burglary",851,1456,410,503,46,883
"Arkansas","Other assaults",3072,6485,680,913,565,1070
"Arkansas","Total Drug Violations",4181,7277,272,728,178,846
"Arkansas","Sale (subtotal)",637,1146,33,79,22,94
"Arkansas","Sale-Marijuana",230,375,17,32,7,46
"Arkansas","",0,0,0,0,0,0
"Arkansas","Vandalism",437,880,161,489,67,622
"Arkansas","Possession (subtotal)",3520,6054,239,646,156,749
"Arkansas","Possession-Marijuana",2177,3312,192,480,102,586
"Arkansas","Weapons",682,574,88,77,15,153
"Arkansas","Drunkenness",2404,8545,17,270,80,217
"Arkansas","DUI",1772,11083,10,159,19,152
"Arkansas","Aggravated assault",1927,1809,235,139,110,266
"Arkansas","Sale-Opiates",302,57,6,1,1,6
"Arkansas","Possession-Opiates",992,335,27,6,4,30
"Arkansas","Disorderly conduct",1379,1516,766,416,455,744
"Arkansas","Prostitution",135,183,0,2,2,0
"Arkansas","Liquor",640,1702,27,268,77,228
"Arkansas","Robbery",351,204,89,18,8,99
"Arkansas","Stolen property",568,628,71,87,29,130
"Arkansas","Possession-Other drugs",255,2023,16,121,32,107
"Arkansas","Sale-Synthetic narcotics",12,129,5,11,3,13
"Arkansas","Murder and manslaughter",86,39,2,0,0,2
"Arkansas","Arson",15,28,11,8,3,19
"Arkansas","Forgery and counterfeiting",354,668,6,12,9,10
"Arkansas","Possession-Synthetic narcotics",96,384,4,39,18,26
"Arkansas","Sale-Other drugs",93,585,5,35,11,29
"Arkansas","Motor vehicle theft",197,165,22,59,8,76
"Arkansas","Sex offenses",47,133,12,29,2,39
"Arkansas","Vagrancy",723,510,33,2,9,26
"Arkansas","Runaways",0,0,249,305,338,226
"Arkansas","Family offenses",28,183,0,2,2,1
"Arkansas","Embezzlement",5,48,0,7,2,5
"Arkansas","Rape",66,138,3,18,1,21
"Arkansas","Curfew and Loitering",0,0,398,514,235,689
"Arkansas","Manslaughter by negligence",0,10,0,0,0,0
"Arkansas","Gambling (total)",8,13,1,0,0,1
"Arkansas","Suspicion",91,18,3,0,0,3
"Arkansas","All other gambling",1,2,0,0,0,0
