"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Colorado","Rape",61,355,7,53,1,61
"Colorado","Aggravated assault",712,3841,125,583,147,573
"Colorado","Burglary",293,1856,218,851,130,966
"Colorado","Larceny",1604,13121,885,6300,3128,4212
"Colorado","Motor vehicle theft",164,775,71,342,84,343
"Colorado","Other assaults",1702,11222,356,2042,869,1584
"Colorado","Forgery and counterfeiting",74,944,6,48,10,44
"Colorado","Fraud",199,2162,20,155,71,107
"Colorado","Stolen property",60,562,19,144,28,138
"Colorado","Vandalism",467,3797,198,2006,366,1883
"Colorado","Weapons",295,1296,84,530,40,586
"Colorado","Prostitution",146,390,10,17,21,7
"Colorado","Total Drug Violations",1907,13032,266,3469,801,2985
"Colorado","Sale (subtotal)",407,1570,44,175,40,182
"Colorado","Sale-Opiates",294,550,11,23,6,28
"Colorado","Sale-Marijuana",92,476,28,96,16,111
"Colorado","Possession (subtotal)",1494,11387,218,3274,755,2783
"Colorado","Possession-Opiates",549,1786,20,62,16,69
"Colorado","Possession-Marijuana",806,7236,182,2934,656,2494
"Colorado","Possession-Other drugs",119,2122,16,252,74,202
"Colorado","Family offenses",296,2831,4,79,36,47
"Colorado","DUI",1288,27472,14,440,120,337
"Colorado","Liquor",556,10419,113,4672,1908,2947
"Colorado","Disorderly conduct",1051,7231,634,3456,1523,2628
"Colorado","All other non-traffic offenses",8608,67412,1376,9138,2847,7813
"Colorado","Robbery",220,492,89,147,30,210
"Colorado","Arson",9,110,15,137,20,134
"Colorado","Sale-Other drugs",20,475,5,37,8,34
"Colorado","Sex offenses",56,654,35,197,15,222
"Colorado","Murder and manslaughter",43,120,1,4,0,5
"Colorado","Curfew and Loitering",0,0,162,2131,834,1488
"Colorado","Manslaughter by negligence",0,5,0,0,0,0
"Colorado","Vagrancy",39,171,0,0,0,0
"Colorado","Runaways",0,0,1271,3833,3104,2190
"Colorado","Possession-Synthetic narcotics",20,243,0,26,9,18
"Colorado","Gambling (total)",0,9,0,3,1,2
"Colorado","Embezzlement",18,212,0,16,6,10
"Colorado","Sale-Synthetic narcotics",1,69,0,19,10,9
"Colorado","Drunkenness",0,192,0,8,4,4
"Colorado","",0,0,0,0,0,0
"Colorado","Suspicion",3,5,0,2,0,2
"Colorado","All other gambling",0,3,0,3,1,2
