"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Delaware","Rape",37,81,17,9,0,26
"Delaware","Robbery",357,190,162,48,15,197
"Delaware","Aggravated assault",890,863,233,118,93,261
"Delaware","Burglary",259,584,142,165,16,293
"Delaware","Larceny",1740,2454,664,581,664,596
"Delaware","Motor vehicle theft",62,79,28,9,5,32
"Delaware","Other assaults",2945,4102,976,638,531,1089
"Delaware","Forgery and counterfeiting",257,350,7,1,2,6
"Delaware","Fraud",999,979,79,54,40,94
"Delaware","Embezzlement",99,170,9,4,7,6
"Delaware","Stolen property",202,191,101,55,23,134
"Delaware","Vandalism",379,482,125,202,47,283
"Delaware","Weapons",168,158,97,57,14,141
"Delaware","Prostitution",32,99,0,1,1,0
"Delaware","Sex offenses",55,107,24,22,2,45
"Delaware","Total Drug Violations",2818,2400,308,400,111,598
"Delaware","Sale (subtotal)",1361,719,138,70,19,189
"Delaware","Sale-Opiates",938,326,80,8,3,85
"Delaware","Sale-Marijuana",351,228,52,44,9,87
"Delaware","Possession (subtotal)",1450,1681,170,330,92,409
"Delaware","Possession-Opiates",347,376,20,11,5,26
"Delaware","Possession-Marijuana",1024,1118,140,277,70,348
"Delaware","Family offenses",84,153,2,1,2,1
"Delaware","Liquor",287,1696,60,403,166,300
"Delaware","Drunkenness",239,496,9,20,7,22
"Delaware","Disorderly conduct",649,948,420,221,242,401
"Delaware","Vagrancy",458,464,0,0,0,0
"Delaware","All other non-traffic offenses",2118,3336,301,346,139,514
"Delaware","Curfew and Loitering",0,0,83,21,11,93
"Delaware","Possession-Other drugs",37,94,7,33,14,26
"Delaware","Murder and manslaughter",30,5,4,0,0,4
"Delaware","Arson",8,25,6,30,8,30
"Delaware","DUI",42,177,0,0,0,0
"Delaware","Sale-Other drugs",48,76,5,11,6,10
"Delaware","Possession-Synthetic narcotics",42,93,3,9,3,9
"Delaware","Sale-Synthetic narcotics",24,89,1,7,1,7
"Delaware","",0,0,0,0,0,0
"Delaware","Gambling (total)",5,4,1,0,0,1
