"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Maryland","Burglary",2305,2811,1389,937,275,2067
"Maryland","Larceny",8767,9708,5368,2998,3624,4823
"Maryland","Other assaults",11845,10262,5058,2781,2724,5140
"Maryland","Fraud",869,1415,52,24,35,43
"Maryland","Vandalism",913,1298,996,1046,381,1667
"Maryland","Total Drug Violations",33148,16493,4785,2876,896,6799
"Maryland","Sale (subtotal)",8446,2363,2092,266,173,2186
"Maryland","Sale-Marijuana",1319,711,368,132,39,461
"Maryland","Possession (subtotal)",24646,13888,2683,2530,711,4535
"Maryland","Possession-Marijuana",11472,7943,2075,2348,633,3823
"Maryland","DUI",4980,18205,14,198,60,155
"Maryland","Disorderly conduct",2494,2747,1588,630,669,1556
"Maryland","All other non-traffic offenses",52126,45141,3848,3580,1796,5691
"Maryland","Aggravated assault",3189,3014,1113,514,385,1251
"Maryland","Weapons",1935,1036,903,476,220,1170
"Maryland","Sale-Synthetic narcotics",305,560,31,50,15,66
"Maryland","Possession-Opiates",12878,5183,579,94,47,626
"Maryland","Possession-Synthetic narcotics",196,400,24,40,14,50
"Maryland","Sex offenses",490,569,183,112,17,278
"Maryland","",0,0,0,0,0,0
"Maryland","Rape",173,185,36,16,0,52
"Maryland","Robbery",1737,762,1716,237,142,1821
"Maryland","Forgery and counterfeiting",480,602,20,20,6,35
"Maryland","Sale-Opiates",6785,1018,1682,59,116,1626
"Maryland","Possession-Other drugs",100,362,5,48,17,36
"Maryland","Liquor",1808,3823,125,1088,481,746
"Maryland","Runaways",0,0,208,424,360,277
"Maryland","Stolen property",143,68,22,12,7,27
"Maryland","Sale-Other drugs",37,74,11,24,3,32
"Maryland","Motor vehicle theft",1221,664,1128,277,174,1232
"Maryland","Arson",88,154,134,194,57,273
"Maryland","Family offenses",1105,1069,14,24,4,34
"Maryland","Murder and manslaughter",201,76,23,8,3,28
"Maryland","Embezzlement",219,165,26,18,18,26
"Maryland","Suspicion",282,231,46,31,22,56
"Maryland","Prostitution",616,685,7,5,8,4
"Maryland","Gambling (total)",198,37,42,1,0,43
"Maryland","All other gambling",198,33,42,1,0,43
"Maryland","Drunkenness",2,2,2,6,2,6
"Maryland","Vagrancy",68,39,33,19,8,44
"Maryland","Manslaughter by negligence",5,20,1,0,0,1
"Maryland","Bookmaking (horse and sports)",0,3,0,0,0,0
"Maryland","Curfew and Loitering",0,0,200,36,15,221
"Maryland","Number and lottery",0,1,0,0,0,0
