"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"New Mexico","Robbery",48,312,3,58,5,57
"New Mexico","Aggravated assault",199,2421,27,408,107,376
"New Mexico","Burglary",72,1018,20,307,41,310
"New Mexico","Larceny",270,5099,126,2070,1046,1313
"New Mexico","Other assaults",435,5383,94,1217,525,879
"New Mexico","Forgery and counterfeiting",27,245,0,13,3,10
"New Mexico","Stolen property",54,592,8,114,27,98
"New Mexico","Vandalism",26,497,15,429,81,381
"New Mexico","Weapons",46,418,5,233,23,231
"New Mexico","Total Drug Violations",467,5519,41,1028,237,954
"New Mexico","Sale (subtotal)",217,1830,11,168,29,157
"New Mexico","Sale-Opiates",126,1162,5,100,13,92
"New Mexico","Sale-Synthetic narcotics",12,156,1,3,0,4
"New Mexico","Sale-Other drugs",54,290,3,22,5,23
"New Mexico","Possession (subtotal)",241,3335,29,766,185,698
"New Mexico","Possession-Synthetic narcotics",79,710,3,73,17,65
"New Mexico","Family offenses",30,1037,3,5,5,12
"New Mexico","DUI",422,11099,3,158,46,143
"New Mexico","Liquor",90,2753,37,897,348,701
"New Mexico","Disorderly conduct",146,2124,41,709,289,485
"New Mexico","All other non-traffic offenses",1980,31098,135,2327,731,1894
"New Mexico","Rape",15,111,0,11,1,12
"New Mexico","Motor vehicle theft",16,307,6,85,27,66
"New Mexico","Sex offenses",2,137,2,20,3,22
"New Mexico","Embezzlement",12,151,1,12,5,9
"New Mexico","Murder and manslaughter",5,73,0,5,0,7
"New Mexico","Sale-Marijuana",25,222,2,43,11,38
"New Mexico","Possession-Opiates",20,313,1,17,4,14
"New Mexico","Possession-Other drugs",19,398,2,68,15,55
"New Mexico","Gambling (total)",0,2,0,1,0,1
"New Mexico","All other gambling",0,2,0,1,0,1
"New Mexico","Manslaughter by negligence",0,9,0,0,0,0
"New Mexico","Fraud",40,489,4,34,15,25
"New Mexico","Possession-Marijuana",123,1914,23,608,149,564
"New Mexico","Prostitution",21,185,0,1,1,1
"New Mexico","Arson",2,153,2,84,23,63
"New Mexico","Curfew and Loitering",0,0,2,58,40,32
"New Mexico","Drunkenness",5,636,0,5,5,12
"New Mexico","",0,0,0,0,0,0
"New Mexico","Runaways",0,0,20,513,430,242
"New Mexico","Vagrancy",0,10,0,5,0,5
"New Mexico","Suspicion",0,120,0,10,4,6
