"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Ohio","Aggravated assault",1481,1828,262,260,130,408
"Ohio","Burglary",1965,3558,839,954,139,1672
"Ohio","Larceny",6905,18407,2673,4497,3334,3932
"Ohio","Other assaults",9604,20653,2871,4062,2444,4597
"Ohio","Stolen property",1177,2180,372,377,112,643
"Ohio","Total Drug Violations",13409,20012,995,1980,468,2554
"Ohio","Possession (subtotal)",11204,16947,855,1748,418,2229
"Ohio","Possession-Marijuana",5093,9581,530,1344,298,1607
"Ohio","Possession-Other drugs",1282,2737,109,250,66,301
"Ohio","DUI",4098,36456,23,332,91,269
"Ohio","Liquor",1847,9845,233,2197,929,1542
"Ohio","Disorderly conduct",4124,15505,1408,2010,1172,2307
"Ohio","All other non-traffic offenses",20069,42717,3962,6162,3414,6834
"Ohio","Weapons",1720,1279,396,326,67,664
"Ohio","Fraud",1042,2416,95,109,80,130
"Ohio","Sale (subtotal)",1974,1932,131,179,35,278
"Ohio","Sale-Marijuana",527,665,51,86,4,134
"Ohio","Vandalism",839,2435,479,1436,319,1635
"Ohio","Possession-Synthetic narcotics",158,865,12,83,26,72
"Ohio","Murder and manslaughter",134,76,18,3,0,21
"Ohio","Motor vehicle theft",440,572,321,164,58,430
"Ohio","Possession-Opiates",4671,3764,204,71,28,249
"Ohio","",0,0,0,0,0,0
"Ohio","Runaways",0,0,311,625,513,433
"Ohio","Sex offenses",176,674,83,155,23,222
"Ohio","Robbery",1540,1000,682,118,63,741
"Ohio","Forgery and counterfeiting",575,880,50,36,16,72
"Ohio","Drunkenness",919,3528,8,63,24,48
"Ohio","Family offenses",1158,5163,181,536,280,450
"Ohio","Curfew and Loitering",0,0,464,1119,492,1105
"Ohio","Prostitution",461,1036,2,3,1,4
"Ohio","Rape",203,249,35,67,2,102
"Ohio","Manslaughter by negligence",0,15,0,0,0,0
"Ohio","Arson",34,113,37,90,16,114
"Ohio","Sale-Opiates",1195,690,63,45,15,94
"Ohio","Sale-Synthetic narcotics",31,178,1,14,3,12
"Ohio","Sale-Other drugs",221,399,16,34,13,38
"Ohio","Embezzlement",12,44,0,4,0,4
"Ohio","Gambling (total)",20,94,9,4,1,12
"Ohio","All other gambling",0,59,3,4,1,6
"Ohio","Vagrancy",16,21,6,23,12,17
"Ohio","Suspicion",17,22,1,14,2,13
"Ohio","Number and lottery",0,7,0,0,0,0
"Ohio","Bookmaking (horse and sports)",1,0,0,0,0,0
