"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"South Carolina","Aggravated assault",2832,2072,420,159,128,454
"South Carolina","Larceny",5096,6080,1367,1284,1185,1480
"South Carolina","Fraud",6224,7353,37,37,31,45
"South Carolina","Total Drug Violations",9732,7092,816,1014,269,1573
"South Carolina","Possession (subtotal)",7317,6041,690,908,248,1362
"South Carolina","Possession-Marijuana",4682,3888,561,784,208,1148
"South Carolina","Possession-Synthetic narcotics",85,249,5,31,12,25
"South Carolina","Possession-Other drugs",367,786,31,70,19,82
"South Carolina","DUI",2871,11498,4,88,20,75
"South Carolina","All other non-traffic offenses",17304,17269,1714,1348,831,2243
"South Carolina","Drunkenness",3799,8766,19,111,25,105
"South Carolina","Disorderly conduct",5560,7059,2230,787,1131,1895
"South Carolina","Motor vehicle theft",308,357,54,64,10,108
"South Carolina","Other assaults",5419,6352,1581,761,866,1489
"South Carolina","Stolen property",838,658,120,64,27,158
"South Carolina","Weapons",903,373,275,162,52,388
"South Carolina","Possession-Opiates",2183,1118,93,23,9,107
"South Carolina","Burglary",1292,1466,452,420,71,807
"South Carolina","Vandalism",828,1030,256,399,95,566
"South Carolina","Sale (subtotal)",2314,988,124,102,20,206
"South Carolina","Sale-Other drugs",118,254,6,21,3,24
"South Carolina","Sale-Marijuana",560,340,52,57,9,100
"South Carolina","Forgery and counterfeiting",831,704,11,13,10,14
"South Carolina","Gambling (total)",37,15,1,0,0,1
"South Carolina","Liquor",3638,7923,152,799,362,598
"South Carolina","Sale-Opiates",1617,329,62,9,8,63
"South Carolina","Rape",126,120,27,19,0,46
"South Carolina","Sex offenses",115,237,39,59,4,94
"South Carolina","Robbery",840,318,211,44,9,246
"South Carolina","Vagrancy",642,856,0,0,0,0
"South Carolina","",0,0,0,0,0,0
"South Carolina","Murder and manslaughter",129,52,27,0,1,26
"South Carolina","Arson",40,45,14,28,6,37
"South Carolina","Embezzlement",181,160,11,6,6,11
"South Carolina","Prostitution",115,263,0,1,1,0
"South Carolina","Sale-Synthetic narcotics",19,65,4,15,0,19
"South Carolina","Family offenses",730,494,163,41,76,129
"South Carolina","Runaways",0,0,208,401,330,286
"South Carolina","Curfew and Loitering",0,0,30,28,11,48
"South Carolina","Manslaughter by negligence",1,2,0,0,0,0
