"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"South Dakota","Fraud",25,506,0,13,25,40
"South Dakota","Family offenses",15,108,4,104,63,66
"South Dakota","DUI",225,4846,1,74,40,73
"South Dakota","Liquor",79,2955,26,868,672,844
"South Dakota","Larceny",55,783,37,593,411,534
"South Dakota","Aggravated assault",23,173,2,25,5,41
"South Dakota","Other assaults",143,1539,19,262,196,269
"South Dakota","Sex offenses",0,37,1,26,7,24
"South Dakota","",0,0,0,0,0,0
"South Dakota","Disorderly conduct",124,892,29,138,71,184
"South Dakota","All other non-traffic offenses",47,1454,4,350,159,315
"South Dakota","Burglary",3,124,1,77,10,99
"South Dakota","Total Drug Violations",120,1459,15,276,102,308
"South Dakota","Possession (subtotal)",89,1170,13,227,92,250
"South Dakota","Possession-Marijuana",77,908,12,190,71,219
"South Dakota","Weapons",3,57,0,42,7,50
"South Dakota","Vandalism",7,197,5,245,35,256
"South Dakota","Motor vehicle theft",4,33,2,16,18,38
"South Dakota","Possession-Other drugs",10,189,1,30,14,29
"South Dakota","Arson",0,8,2,20,9,22
"South Dakota","Possession-Synthetic narcotics",0,30,0,6,6,2
"South Dakota","Runaways",0,0,41,359,435,220
"South Dakota","Rape",2,29,0,4,0,7
"South Dakota","Forgery and counterfeiting",1,60,0,3,3,1
"South Dakota","Prostitution",1,9,0,0,0,0
"South Dakota","Sale (subtotal)",22,105,1,16,3,14
"South Dakota","Sale-Marijuana",7,69,0,7,1,6
"South Dakota","Stolen property",3,19,1,12,7,16
"South Dakota","Curfew and Loitering",0,0,2,144,47,120
"South Dakota","Possession-Opiates",2,43,0,1,1,0
"South Dakota","Embezzlement",1,35,1,8,3,8
"South Dakota","Vagrancy",16,60,0,0,0,0
"South Dakota","Robbery",6,9,0,1,0,2
"South Dakota","Murder and manslaughter",1,11,0,0,0,0
"South Dakota","Sale-Opiates",9,14,0,0,0,0
"South Dakota","Drunkenness",0,31,0,16,12,11
"South Dakota","Sale-Synthetic narcotics",1,5,0,3,1,2
"South Dakota","Sale-Other drugs",5,17,1,6,1,6
