"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Utah","Burglary",71,1058,18,418,40,435
"Utah","Other assaults",472,8123,142,2125,799,1725
"Utah","Vandalism",113,2279,60,1964,304,1858
"Utah","DUI",172,7043,2,103,33,87
"Utah","Liquor",241,7641,57,2318,1027,1544
"Utah","Drunkenness",160,3871,6,172,82,125
"Utah","All other non-traffic offenses",1954,31330,203,5884,1968,4715
"Utah","Larceny",484,10663,238,5458,2439,3848
"Utah","Motor vehicle theft",18,301,5,166,46,140
"Utah","Forgery and counterfeiting",30,1127,0,32,13,20
"Utah","Sex offenses",14,510,7,309,30,312
"Utah","Family offenses",75,1776,2,125,37,94
"Utah","Disorderly conduct",170,3119,128,1964,552,1746
"Utah","Runaways",0,0,21,585,360,298
"Utah","Aggravated assault",98,997,15,225,43,225
"Utah","Total Drug Violations",432,7698,44,1694,418,1461
"Utah","Sale (subtotal)",102,1199,8,170,43,155
"Utah","Sale-Marijuana",10,211,2,61,12,57
"Utah","Possession (subtotal)",324,6337,36,1489,372,1274
"Utah","Possession-Marijuana",117,2769,20,962,224,837
"Utah","Possession-Other drugs",59,2273,15,481,131,407
"Utah","Possession-Synthetic narcotics",7,247,0,16,6,10
"Utah","Curfew and Loitering",0,0,38,1556,646,1060
"Utah","Stolen property",38,578,8,168,43,152
"Utah","Sale-Synthetic narcotics",3,31,0,3,1,2
"Utah","",0,0,0,0,0,0
"Utah","Robbery",48,376,13,56,2,83
"Utah","Weapons",42,862,20,346,24,378
"Utah","Sale-Other drugs",16,455,4,96,29,85
"Utah","Fraud",33,1045,0,56,19,42
"Utah","Rape",6,133,2,59,1,62
"Utah","Arson",3,40,3,57,4,63
"Utah","Vagrancy",2,33,1,162,61,102
"Utah","Prostitution",43,392,1,22,8,16
"Utah","Sale-Opiates",73,502,2,10,1,11
"Utah","Murder and manslaughter",9,34,0,4,3,3
"Utah","Possession-Opiates",141,1048,1,30,11,20
"Utah","Manslaughter by negligence",0,6,0,0,0,0
"Utah","Embezzlement",1,24,0,1,0,2
"Utah","Gambling (total)",0,6,0,1,0,1
"Utah","Bookmaking (horse and sports)",0,0,0,1,0,1
