"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Wisconsin","Larceny",5625,16638,3106,9098,5480,7324
"Wisconsin","Fraud",694,5434,25,183,74,136
"Wisconsin","Vandalism",1409,4652,833,3160,626,3565
"Wisconsin","Total Drug Violations",6303,13686,1110,3390,866,3778
"Wisconsin","Possession (subtotal)",3869,11393,798,2974,767,3134
"Wisconsin","Possession-Marijuana",3066,8510,727,2260,521,2573
"Wisconsin","DUI",2246,37546,31,520,168,434
"Wisconsin","Liquor",2321,28849,581,8578,3964,5888
"Wisconsin","Disorderly conduct",9935,35061,6277,11972,5859,13005
"Wisconsin","Burglary",640,2313,448,1119,133,1514
"Wisconsin","All other non-traffic offenses",18656,74321,5414,19827,8574,18242
"Wisconsin","Other assaults",5479,9790,1650,2060,1337,2552
"Wisconsin","Weapons",1301,2221,471,902,153,1257
"Wisconsin","Sale (subtotal)",2414,2263,310,410,99,636
"Wisconsin","Sale-Opiates",1356,645,112,35,14,135
"Wisconsin","Sale-Marijuana",802,1104,165,202,27,345
"Wisconsin","Sale-Other drugs",220,330,30,112,40,106
"Wisconsin","Possession-Other drugs",214,1368,36,497,159,394
"Wisconsin","Curfew and Loitering",0,0,2671,4281,2046,5044
"Wisconsin","Rape",186,344,66,87,7,151
"Wisconsin","Aggravated assault",1352,2807,279,488,195,623
"Wisconsin","Possession-Opiates",484,910,28,52,17,64
"Wisconsin","Family offenses",482,1995,33,190,62,164
"Wisconsin","Sex offenses",217,1492,191,761,196,793
"Wisconsin","Robbery",852,481,499,142,49,604
"Wisconsin","Forgery and counterfeiting",276,1462,7,84,44,50
"Wisconsin","Gambling (total)",71,17,37,12,4,45
"Wisconsin","All other gambling",16,17,1,11,4,8
"Wisconsin","Motor vehicle theft",312,544,258,474,162,615
"Wisconsin","Vagrancy",1839,828,13,69,24,60
"Wisconsin","Runaways",0,0,1096,2851,2184,1984
"Wisconsin","Sale-Synthetic narcotics",36,184,3,61,18,50
"Wisconsin","Stolen property",411,666,378,316,154,565
"Wisconsin","Possession-Synthetic narcotics",105,605,7,166,70,105
"Wisconsin","Arson",71,186,28,94,18,112
"Wisconsin","Manslaughter by negligence",2,29,0,1,0,1
"Wisconsin","Embezzlement",23,220,1,21,11,12
"Wisconsin","",0,0,0,0,0,0
"Wisconsin","Murder and manslaughter",91,70,22,9,3,28
"Wisconsin","Prostitution",332,315,11,13,20,7
