"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Texas","Aggravated assault",278,613,25,54,12,68
"Texas","Larceny",967,3001,222,782,519,493
"Texas","Forgery and counterfeiting",97,161,2,0,1,1
"Texas","Fraud",107,274,0,8,0,8
"Texas","Vandalism",57,224,12,48,10,50
"Texas","Total Drug Violations",481,892,88,218,36,272
"Texas","Sale (subtotal)",90,40,5,3,1,7
"Texas","Sale-Marijuana",10,5,3,0,0,3
"Texas","Possession (subtotal)",391,852,83,215,35,265
"Texas","Possession-Opiates",210,355,32,34,3,63
"Texas","Possession-Marijuana",140,385,47,159,27,181
"Texas","DUI",398,6471,1,69,10,60
"Texas","All other non-traffic offenses",8042,18065,293,947,269,979
"Texas","Murder and manslaughter",7,13,1,0,0,1
"Texas","Burglary",147,398,46,127,10,163
"Texas","Other assaults",1331,3701,133,306,198,248
"Texas","Motor vehicle theft",4,6,0,3,1,2
"Texas","Possession-Synthetic narcotics",11,20,2,4,1,5
"Texas","Liquor",389,1741,9,263,82,190
"Texas","Drunkenness",508,4996,4,55,10,49
"Texas","Possession-Other drugs",30,92,2,18,4,16
"Texas","Weapons",125,290,6,39,2,43
"Texas","Sale-Opiates",76,29,2,3,1,4
"Texas","Disorderly conduct",46,203,10,25,6,29
"Texas","Sex offenses",15,83,9,26,1,34
"Texas","Robbery",110,170,29,21,6,44
"Texas","Stolen property",2,8,2,3,1,4
"Texas","Prostitution",52,162,0,1,0,1
"Texas","Sale-Synthetic narcotics",2,0,0,0,0,0
"Texas","Gambling (total)",29,27,3,0,0,3
"Texas","All other gambling",29,27,3,0,0,3
"Texas","Family offenses",5,19,0,0,0,0
"Texas","Vagrancy",12,30,310,1477,624,1171
"Texas","Curfew and Loitering",0,0,316,1540,654,1212
"Texas","Arson",2,5,1,8,0,9
"Texas","Runaways",0,0,1,20,16,5
"Texas","Sale-Other drugs",2,6,0,0,0,0
