"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Connecticut","Murder and manslaughter",37,15,5,3,0,8
"Connecticut","Rape",20,23,1,4,0,5
"Connecticut","Robbery",104,73,28,9,3,34
"Connecticut","Aggravated assault",205,196,17,16,8,25
"Connecticut","Burglary",105,125,30,25,4,52
"Connecticut","Larceny",378,455,57,56,37,76
"Connecticut","Motor vehicle theft",45,60,11,13,1,23
"Connecticut","Other assaults",1472,1590,228,230,131,329
"Connecticut","Arson",3,5,2,1,1,2
"Connecticut","Forgery and counterfeiting",35,13,1,0,0,1
"Connecticut","Fraud",55,62,12,11,6,17
"Connecticut","Embezzlement",3,1,0,0,0,0
"Connecticut","Stolen property",12,38,0,2,0,2
"Connecticut","Vandalism",40,40,21,20,6,35
"Connecticut","Weapons",96,75,21,15,1,35
"Connecticut","Prostitution",50,89,0,0,0,0
"Connecticut","Sex offenses",14,36,3,4,0,7
"Connecticut","Total Drug Violations",1271,1997,100,95,16,181
"Connecticut","Possession (subtotal)",1271,1997,100,95,16,181
"Connecticut","Possession-Opiates",515,1319,34,40,9,65
"Connecticut","Possession-Marijuana",616,536,60,45,7,100
"Connecticut","Possession-Synthetic narcotics",102,87,3,7,0,10
"Connecticut","Possession-Other drugs",38,55,3,3,0,6
"Connecticut","Family offenses",66,89,13,3,4,12
"Connecticut","DUI",63,139,2,0,0,2
"Connecticut","Liquor",10,7,1,3,0,4
"Connecticut","Disorderly conduct",863,935,322,268,235,358
"Connecticut","All other non-traffic offenses",1579,1749,138,123,32,230
"Connecticut","",0,0,0,0,0,0
