"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Nevada","Aggravated assault",1363,3095,159,361,141,400
"Nevada","Burglary",468,1763,204,598,135,703
"Nevada","Larceny",2446,8021,848,2652,1765,1909
"Nevada","Motor vehicle theft",139,428,33,108,32,115
"Nevada","Other assaults",3684,11520,712,1996,1097,1707
"Nevada","DUI",1499,13220,4,114,30,90
"Nevada","Liquor",1267,6483,125,1951,785,1413
"Nevada","Drunkenness",2,99,0,39,20,23
"Nevada","All other non-traffic offenses",16112,36997,888,3054,949,3098
"Nevada","Runaways",0,0,123,958,624,498
"Nevada","Fraud",323,1385,13,38,15,38
"Nevada","Vandalism",266,1124,166,1373,121,1460
"Nevada","Rape",54,124,3,14,0,17
"Nevada","Weapons",385,1159,86,280,24,349
"Nevada","Sex offenses",249,1177,20,89,13,100
"Nevada","Total Drug Violations",4725,10250,348,1450,353,1508
"Nevada","Possession (subtotal)",3595,8172,293,1251,302,1297
"Nevada","Possession-Marijuana",2543,4515,277,1135,256,1205
"Nevada","Forgery and counterfeiting",361,843,2,27,7,23
"Nevada","Stolen property",380,1312,93,165,43,221
"Nevada","Curfew and Loitering",0,0,574,2056,932,1788
"Nevada","Arson",11,71,10,52,8,57
"Nevada","Disorderly conduct",422,1699,481,717,429,800
"Nevada","Suspicion",0,1,1,7,2,6
"Nevada","Embezzlement",103,371,0,10,4,6
"Nevada","Possession-Other drugs",144,549,4,43,18,32
"Nevada","Family offenses",164,1383,0,7,2,5
"Nevada","Sale (subtotal)",1130,2078,55,199,51,211
"Nevada","Sale-Other drugs",70,397,9,58,13,58
"Nevada","Robbery",674,902,253,178,48,394
"Nevada","Unclassified Arrest",0,0,0,0,0,0
"Nevada","Murder and manslaughter",42,84,3,9,4,9
"Nevada","Manslaughter by negligence",5,13,0,1,0,1
"Nevada","Prostitution",1780,2424,33,42,71,5
"Nevada","Sale-Opiates",477,654,11,5,3,13
"Nevada","Sale-Marijuana",482,411,33,123,29,131
"Nevada","Sale-Synthetic narcotics",101,616,2,13,6,9
"Nevada","Possession-Opiates",649,1253,5,30,10,27
"Nevada","Possession-Synthetic narcotics",259,1855,7,43,18,33
"Nevada","Gambling (total)",3,28,0,0,0,0
"Nevada","All other gambling",3,28,0,0,0,0
"Nevada","Vagrancy",473,1606,12,17,14,15
