"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"New Hampshire","Unclassified Arrest",0,0,0,0,0,0
"New Hampshire","Other assaults",295,5075,68,991,359,712
"New Hampshire","Total Drug Violations",133,3095,34,737,138,640
"New Hampshire","Sale (subtotal)",39,596,1,82,20,64
"New Hampshire","Sale-Marijuana",7,393,1,65,17,50
"New Hampshire","DUI",86,4451,1,67,16,52
"New Hampshire","Liquor",100,4256,22,917,402,553
"New Hampshire","Drunkenness",64,3634,3,257,142,121
"New Hampshire","All other non-traffic offenses",532,11754,65,1757,519,1326
"New Hampshire","Larceny",92,2573,45,863,446,477
"New Hampshire","Vandalism",44,886,17,354,67,306
"New Hampshire","Sex offenses",6,130,2,35,3,36
"New Hampshire","Possession (subtotal)",91,2445,33,650,116,573
"New Hampshire","Possession-Marijuana",63,1753,23,566,93,502
"New Hampshire","Disorderly conduct",102,1099,34,250,71,218
"New Hampshire","Sale-Other drugs",2,59,0,12,3,9
"New Hampshire","Possession-Other drugs",11,250,6,55,9,52
"New Hampshire","Weapons",10,82,0,15,0,15
"New Hampshire","Vagrancy",4,74,0,0,0,0
"New Hampshire","Burglary",23,374,6,144,14,139
"New Hampshire","Motor vehicle theft",3,74,0,36,3,33
"New Hampshire","Possession-Synthetic narcotics",2,170,3,27,12,18
"New Hampshire","Arson",0,29,1,23,4,21
"New Hampshire","Sale-Synthetic narcotics",3,40,0,2,0,2
"New Hampshire","Fraud",20,710,4,15,7,13
"New Hampshire","Stolen property",14,447,8,102,22,90
"New Hampshire","Runaways",0,0,19,317,187,151
"New Hampshire","Aggravated assault",36,360,7,60,16,54
"New Hampshire","Robbery",13,144,2,15,1,17
"New Hampshire","Possession-Opiates",15,272,1,2,2,1
"New Hampshire","Prostitution",5,40,0,0,0,0
"New Hampshire","Gambling (total)",0,3,0,0,0,0
"New Hampshire","Curfew and Loitering",0,0,2,24,1,26
"New Hampshire","Forgery and counterfeiting",5,201,0,6,2,4
"New Hampshire","Sale-Opiates",27,104,0,3,0,3
"New Hampshire","Rape",3,40,0,2,0,2
"New Hampshire","Family offenses",1,179,1,11,3,9
"New Hampshire","Embezzlement",1,44,0,1,0,1
"New Hampshire","Manslaughter by negligence",0,1,0,0,0,0
"New Hampshire","Murder and manslaughter",0,3,0,0,0,0
