"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"New York","Aggravated assault",3896,5261,642,714,291,1088
"New York","Burglary",1596,4614,598,1426,190,1856
"New York","Larceny",11629,27608,3092,6153,4360,5072
"New York","Other assaults",10077,21541,1808,3031,1628,3285
"New York","Forgery and counterfeiting",950,2459,23,85,29,79
"New York","Vandalism",3501,8968,877,2878,644,3154
"New York","Prostitution",241,562,5,9,8,7
"New York","Total Drug Violations",18469,37543,1211,4065,842,4502
"New York","Sale (subtotal)",1898,2777,79,313,64,334
"New York","Sale-Marijuana",260,534,41,164,24,186
"New York","Sale-Other drugs",797,983,15,40,7,48
"New York","Possession (subtotal)",16571,34766,1132,3751,777,4168
"New York","Possession-Marijuana",11064,24453,965,3380,632,3768
"New York","Possession-Other drugs",3753,7023,102,272,111,266
"New York","DUI",3446,32340,13,264,76,209
"New York","All other non-traffic offenses",20218,50849,2091,5132,1983,5287
"New York","Motor vehicle theft",772,923,226,256,94,393
"New York","Fraud",2194,5183,147,181,89,245
"New York","Weapons",1391,2137,341,320,48,624
"New York","Stolen property",1334,3092,357,701,203,859
"New York","Possession-Opiates",1702,2951,63,75,25,116
"New York","Liquor",548,3735,56,841,319,587
"New York","Disorderly conduct",3564,9125,856,1321,692,1508
"New York","Vagrancy",431,666,20,31,7,44
"New York","Arson",84,198,33,100,18,116
"New York","Robbery",1779,1399,855,315,113,1066
"New York","Sex offenses",643,2780,150,588,57,687
"New York","Murder and manslaughter",118,128,25,7,3,29
"New York","Rape",170,295,22,42,3,62
"New York","Gambling (total)",99,112,24,0,0,24
"New York","All other gambling",93,43,24,0,0,24
"New York","Family offenses",160,1035,13,104,33,84
"New York","Possession-Synthetic narcotics",52,339,2,25,9,19
"New York","Unclassified Arrest",0,0,0,0,0,0
"New York","Sale-Opiates",824,1199,23,97,32,89
"New York","Embezzlement",27,123,2,2,1,3
"New York","Sale-Synthetic narcotics",17,61,0,12,1,11
"New York","Manslaughter by negligence",2,23,0,2,1,1
"New York","Bookmaking (horse and sports)",3,43,0,0,0,0
"New York","Number and lottery",3,26,0,0,0,0
