"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Texas","Unclassified Arrest",0,0,0,0,0,0
"Texas","Murder and manslaughter",229,510,24,60,8,76
"Texas","Manslaughter by negligence",14,63,1,0,0,1
"Texas","Aggravated assault",5929,14989,934,2055,768,2235
"Texas","Burglary",4308,11182,1420,3812,354,4913
"Texas","Larceny",23337,66842,7238,19430,12269,14796
"Texas","Motor vehicle theft",1074,3222,256,702,181,782
"Texas","Other assaults",23864,69737,7455,15567,7924,15256
"Texas","Fraud",3516,9278,92,313,152,258
"Texas","Weapons",3483,6508,302,1118,113,1316
"Texas","Sex offenses",658,2861,191,453,64,583
"Texas","Total Drug Violations",39565,89476,2530,13771,2542,13872
"Texas","Sale (subtotal)",4423,10830,167,764,164,771
"Texas","Sale-Opiates",2308,2443,55,118,20,154
"Texas","Possession (subtotal)",35093,78546,2361,12997,2375,13092
"Texas","Possession-Opiates",10353,17523,241,802,194,859
"Texas","Possession-Marijuana",17614,44620,1818,10207,1695,10409
"Texas","Family offenses",1169,4093,12,45,22,35
"Texas","DUI",7387,86465,26,966,207,796
"Texas","Drunkenness",20372,116615,250,2890,559,2601
"Texas","All other non-traffic offenses",96747,218161,7317,21732,6680,22563
"Texas","Robbery",2834,3959,790,805,168,1434
"Texas","Vandalism",2148,6585,859,4554,861,4581
"Texas","Sale-Other drugs",312,1152,26,168,51,145
"Texas","Forgery and counterfeiting",2837,4797,68,145,69,149
"Texas","Possession-Other drugs",5874,10605,214,1289,291,1226
"Texas","Gambling (total)",245,346,54,17,2,69
"Texas","All other gambling",192,282,34,14,2,46
"Texas","Runaways",0,0,2744,9612,7347,5084
"Texas","Liquor",3433,19620,296,5053,1779,3606
"Texas","Disorderly conduct",7309,12645,7819,13116,7208,13887
"Texas","Possession-Synthetic narcotics",1252,5798,88,699,195,598
"Texas","Vagrancy",581,886,174,873,366,684
"Texas","Curfew and Loitering",0,0,2049,9544,4129,7545
"Texas","Rape",405,1304,66,186,4,250
"Texas","Arson",107,336,39,186,36,193
"Texas","Stolen property",181,546,52,127,23,158
"Texas","Sale-Marijuana",441,1176,55,254,47,263
"Texas","Sale-Synthetic narcotics",1362,6059,31,224,46,209
"Texas","Embezzlement",168,306,9,13,9,13
"Texas","Prostitution",3638,4676,73,49,103,21
"Texas","Bookmaking (horse and sports)",2,27,1,2,0,3
"Texas","Number and lottery",4,22,0,0,0,0
