"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Alabama","Unclassified Arrest",0,0,0,0,0,0
"Alabama","Murder and manslaughter",40,1,0,0,0,1
"Alabama","Manslaughter by negligence",1,0,0,0,0,0
"Alabama","Rape",13,5,2,1,1,2
"Alabama","Robbery",146,19,41,0,1,40
"Alabama","Aggravated assault",312,35,29,3,8,24
"Alabama","Burglary",325,43,88,2,5,85
"Alabama","Larceny",980,359,122,17,63,79
"Alabama","Motor vehicle theft",114,18,30,0,6,24
"Alabama","Other assaults",1522,143,83,3,28,59
"Alabama","Arson",1,2,2,0,0,2
"Alabama","Forgery and counterfeiting",59,10,2,0,1,1
"Alabama","Fraud",276,29,1,0,0,1
"Alabama","Embezzlement",0,1,0,0,0,0
"Alabama","Stolen property",24,9,0,0,0,0
"Alabama","Vandalism",212,35,21,2,4,19
"Alabama","Weapons",264,16,37,0,2,35
"Alabama","Prostitution",110,89,0,0,0,0
"Alabama","Total Drug Violations",1987,483,123,3,10,116
"Alabama","Sale (subtotal)",23,9,0,0,0,0
"Alabama","Sale-Opiates",3,0,0,0,0,0
"Alabama","Sale-Marijuana",7,0,0,0,0,0
"Alabama","Sale-Synthetic narcotics",1,1,0,0,0,0
"Alabama","Sale-Other drugs",12,8,0,0,0,0
"Alabama","Possession (subtotal)",1964,474,123,3,10,116
"Alabama","Possession-Opiates",721,335,16,0,0,16
"Alabama","Possession-Marijuana",1240,139,104,3,7,100
"Alabama","Possession-Synthetic narcotics",3,0,2,0,2,0
"Alabama","Possession-Other drugs",0,0,1,0,1,0
"Alabama","Gambling (total)",2,3,0,0,0,0
"Alabama","Number and lottery",2,3,0,0,0,0
"Alabama","All other gambling",0,0,0,0,0,0
"Alabama","DUI",9,7,0,0,0,0
"Alabama","Liquor",15,3,0,0,0,0
"Alabama","Drunkenness",16,4,0,0,0,0
"Alabama","Disorderly conduct",23,1,0,0,0,0
"Alabama","Vagrancy",4,0,0,0,0,0
"Alabama","All other non-traffic offenses",831,279,5,1,1,5
