"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"New York","Murder and manslaughter",21,3,2,0,0,2
"New York","Rape",32,7,3,1,0,4
"New York","Robbery",311,98,140,39,19,160
"New York","Aggravated assault",637,328,97,31,34,95
"New York","Burglary",272,188,76,26,3,102
"New York","Larceny",614,589,75,40,50,66
"New York","Motor vehicle theft",234,72,40,25,8,57
"New York","Other assaults",1193,886,132,58,69,121
"New York","Arson",16,7,4,0,0,4
"New York","Forgery and counterfeiting",60,40,1,2,0,3
"New York","Fraud",342,134,24,6,9,22
"New York","Stolen property",107,86,15,4,2,17
"New York","Vandalism",432,292,72,39,33,78
"New York","Weapons",193,68,63,12,4,71
"New York","Prostitution",22,51,0,0,0,0
"New York","Sex offenses",73,79,4,9,0,15
"New York","Total Drug Violations",2772,1591,195,80,29,246
"New York","Sale (subtotal)",110,48,5,2,0,7
"New York","Sale-Marijuana",56,6,5,0,0,5
"New York","Sale-Other drugs",54,41,0,2,0,2
"New York","Possession (subtotal)",2662,1543,190,78,29,239
"New York","Possession-Opiates",186,80,10,1,1,10
"New York","Possession-Marijuana",1604,567,165,54,20,199
"New York","Possession-Other drugs",870,890,15,23,8,30
"New York","DUI",96,168,0,2,2,1
"New York","Disorderly conduct",118,104,18,9,10,17
"New York","Vagrancy",51,17,3,0,1,2
"New York","All other non-traffic offenses",937,745,93,38,27,105
"New York","Manslaughter by negligence",2,0,0,0,0,0
"New York","Possession-Synthetic narcotics",2,6,0,0,0,0
"New York","Family offenses",5,13,1,0,0,1
"New York","Liquor",1,1,0,0,0,0
"New York","Gambling (total)",14,2,2,0,0,2
"New York","All other gambling",14,2,2,0,0,2
"New York","Sale-Synthetic narcotics",0,1,0,0,0,0
