"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Colorado","Unclassified Arrest",0,0,0,0,0,0
"Colorado","Murder and manslaughter",11,18,2,3,0,5
"Colorado","Rape",22,61,4,6,0,10
"Colorado","Robbery",122,146,44,23,16,53
"Colorado","Aggravated assault",248,611,30,64,14,81
"Colorado","Burglary",143,336,71,122,33,165
"Colorado","Larceny",119,641,29,69,22,80
"Colorado","Motor vehicle theft",54,224,14,67,16,71
"Colorado","Other assaults",287,642,54,82,34,109
"Colorado","Forgery and counterfeiting",24,83,1,0,1,0
"Colorado","Fraud",14,107,1,4,1,4
"Colorado","Embezzlement",3,20,0,0,0,0
"Colorado","Stolen property",8,48,0,2,0,2
"Colorado","Vandalism",32,208,22,159,18,174
"Colorado","Weapons",73,107,15,17,3,31
"Colorado","Sex offenses",22,90,9,32,1,42
"Colorado","Total Drug Violations",513,955,30,44,13,65
"Colorado","Sale (subtotal)",214,261,17,16,7,27
"Colorado","Sale-Opiates",129,147,7,8,2,13
"Colorado","Sale-Marijuana",72,62,7,7,4,11
"Colorado","Sale-Other drugs",13,52,3,1,1,3
"Colorado","Possession (subtotal)",299,693,13,28,6,38
"Colorado","Possession-Opiates",245,424,8,11,2,18
"Colorado","Possession-Marijuana",17,44,4,2,1,5
"Colorado","Possession-Other drugs",34,215,1,12,1,13
"Colorado","Family offenses",35,126,0,2,3,0
"Colorado","Disorderly conduct",10,25,0,5,2,3
"Colorado","All other non-traffic offenses",313,734,31,61,15,83
"Colorado","Runaways",0,0,459,1089,945,672
"Colorado","Arson",2,8,0,1,0,1
"Colorado","Prostitution",1,7,1,3,3,1
"Colorado","Possession-Synthetic narcotics",3,10,0,3,2,2
"Colorado","DUI",1,2,0,0,0,0
"Colorado","Gambling (total)",0,2,0,0,0,0
"Colorado","Curfew and Loitering",0,0,6,33,9,30
"Colorado","Liquor",2,6,0,1,0,1
"Colorado","Vagrancy",0,4,0,0,0,0
"Colorado","Manslaughter by negligence",0,1,0,0,0,0
