"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Texas","Aggravated assault",755,748,185,132,98,225
"Texas","Burglary",620,507,184,212,19,379
"Texas","Larceny",4326,4683,876,1207,1022,1134
"Texas","Other assaults",4601,4661,753,579,387,953
"Texas","Forgery and counterfeiting",590,344,11,16,11,16
"Texas","Fraud",830,333,9,6,7,8
"Texas","Weapons",925,555,65,101,12,154
"Texas","Total Drug Violations",10835,7546,425,879,149,1162
"Texas","Sale (subtotal)",7,5,1,1,0,2
"Texas","Sale-Opiates",5,2,0,0,0,0
"Texas","Possession (subtotal)",10828,7541,424,878,149,1160
"Texas","Possession-Opiates",2951,2105,30,42,25,49
"Texas","Possession-Marijuana",3513,2473,306,671,101,879
"Texas","Family offenses",12,16,0,0,0,0
"Texas","DUI",1080,6125,0,23,2,21
"Texas","Drunkenness",4099,11514,23,165,23,167
"Texas","Disorderly conduct",2174,1633,1406,1284,1050,1653
"Texas","All other non-traffic offenses",19541,14503,572,906,395,1090
"Texas","Murder and manslaughter",41,53,9,4,1,12
"Texas","Motor vehicle theft",1,3,2,4,0,6
"Texas","Liquor",1377,1763,15,73,23,66
"Texas","Embezzlement",2,2,0,0,0,0
"Texas","Possession-Synthetic narcotics",1,2,1,12,1,12
"Texas","Vandalism",626,490,130,220,53,297
"Texas","Manslaughter by negligence",4,4,0,0,0,0
"Texas","Rape",93,129,3,2,0,5
"Texas","Robbery",665,492,180,136,26,293
"Texas","Arson",12,18,1,1,1,1
"Texas","Prostitution",1692,1370,28,12,38,2
"Texas","Sex offenses",142,209,42,46,7,81
"Texas","Possession-Other drugs",4363,2961,87,153,22,220
"Texas","Gambling (total)",54,20,1,0,0,1
"Texas","All other gambling",54,20,1,0,0,1
"Texas","Vagrancy",180,40,1,0,0,1
"Texas","Curfew and Loitering",0,0,503,1058,519,1054
"Texas","Runaways",0,0,1381,1821,1989,1249
"Texas","Sale-Other drugs",2,3,1,1,0,2
