"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Missouri","Murder and manslaughter",83,17,15,4,0,19
"Missouri","Rape",64,40,4,2,0,6
"Missouri","Robbery",260,76,93,7,11,89
"Missouri","Aggravated assault",559,237,54,29,21,62
"Missouri","Burglary",418,155,153,23,15,162
"Missouri","Larceny",1483,1133,335,296,346,289
"Missouri","Motor vehicle theft",496,356,187,33,37,183
"Missouri","Other assaults",3841,1877,310,105,143,272
"Missouri","Forgery and counterfeiting",131,69,3,0,1,2
"Missouri","Fraud",47,28,1,1,2,0
"Missouri","Stolen property",84,32,7,3,0,10
"Missouri","Vandalism",681,279,54,56,18,94
"Missouri","Weapons",454,164,72,13,3,83
"Missouri","Prostitution",103,264,1,0,0,1
"Missouri","Sex offenses",115,149,28,14,0,42
"Missouri","Total Drug Violations",2602,1234,139,102,28,213
"Missouri","Sale (subtotal)",436,100,6,2,1,7
"Missouri","Sale-Marijuana",1,0,1,0,0,1
"Missouri","Sale-Synthetic narcotics",1,0,0,0,0,0
"Missouri","Sale-Other drugs",434,100,3,2,1,4
"Missouri","Possession (subtotal)",2166,1134,133,100,27,206
"Missouri","Possession-Opiates",7,3,7,0,0,7
"Missouri","Possession-Marijuana",786,362,95,64,18,141
"Missouri","Possession-Other drugs",1373,769,31,36,9,58
"Missouri","Family offenses",376,233,8,2,4,6
"Missouri","DUI",557,1112,0,10,4,6
"Missouri","Liquor",272,174,2,13,5,10
"Missouri","Disorderly conduct",763,543,54,14,25,43
"Missouri","All other non-traffic offenses",5372,7380,100,33,24,109
"Missouri","Curfew and Loitering",0,0,13,17,4,26
"Missouri","Arson",22,13,6,1,1,6
"Missouri","Vagrancy",38,6,3,0,0,3
"Missouri","Embezzlement",0,0,2,0,1,1
"Missouri","Sale-Opiates",0,0,2,0,0,2
"Missouri","Runaways",0,0,1,2,2,1
"Missouri","Manslaughter by negligence",0,1,3,0,1,2
