"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Wisconsin","Manslaughter by negligence",1,1,1,0,0,1
"Wisconsin","Other assaults",3236,1106,750,100,264,598
"Wisconsin","Fraud",220,80,22,8,20,10
"Wisconsin","Total Drug Violations",3591,1046,610,184,44,756
"Wisconsin","Possession (subtotal)",2407,753,490,160,38,617
"Wisconsin","Possession-Marijuana",1904,561,460,151,37,579
"Wisconsin","DUI",619,1241,7,7,4,12
"Wisconsin","Liquor",163,901,45,75,36,87
"Wisconsin","Disorderly conduct",4959,2454,2959,432,1325,2129
"Wisconsin","All other non-traffic offenses",6363,3263,2685,881,901,2747
"Wisconsin","Weapons",963,205,263,68,50,286
"Wisconsin","Vandalism",885,316,304,133,87,356
"Wisconsin","Aggravated assault",648,204,100,14,30,84
"Wisconsin","Stolen property",291,59,178,27,22,187
"Wisconsin","Rape",115,48,33,8,2,39
"Wisconsin","Family offenses",124,48,6,0,0,6
"Wisconsin","Larceny",2376,1156,851,177,392,650
"Wisconsin","Burglary",490,142,403,38,15,426
"Wisconsin","Sale (subtotal)",1173,291,120,23,6,138
"Wisconsin","Sale-Opiates",535,133,27,3,2,28
"Wisconsin","Sale-Other drugs",80,28,12,3,0,15
"Wisconsin","Embezzlement",7,2,1,0,0,1
"Wisconsin","Sex offenses",64,49,39,17,0,56
"Wisconsin","Murder and manslaughter",67,6,4,1,1,4
"Wisconsin","Robbery",457,106,277,26,13,290
"Wisconsin","Motor vehicle theft",48,12,39,3,7,35
"Wisconsin","Arson",20,9,5,0,0,5
"Wisconsin","Forgery and counterfeiting",82,25,1,0,1,0
"Wisconsin","Prostitution",84,54,9,0,6,3
"Wisconsin","Sale-Marijuana",541,115,79,17,4,93
"Wisconsin","Sale-Synthetic narcotics",17,15,2,0,0,2
"Wisconsin","Possession-Opiates",377,149,23,2,0,25
"Wisconsin","Possession-Synthetic narcotics",30,14,2,1,0,3
"Wisconsin","Possession-Other drugs",96,29,5,6,1,10
"Wisconsin","Gambling (total)",101,1,48,1,0,49
"Wisconsin","Vagrancy",2081,877,0,0,0,0
"Wisconsin","Curfew and Loitering",0,0,1325,331,245,1428
"Wisconsin","Runaways",0,0,352,94,237,220
