"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Oregon","Murder and manslaughter",11,11,0,3,0,3
"Oregon","Rape",9,38,3,0,0,3
"Oregon","Robbery",78,138,30,15,5,44
"Oregon","Aggravated assault",157,299,24,38,14,52
"Oregon","Burglary",49,182,26,33,5,56
"Oregon","Larceny",855,3095,302,525,457,423
"Oregon","Motor vehicle theft",44,173,4,16,2,18
"Oregon","Other assaults",705,1874,72,108,61,124
"Oregon","Forgery and counterfeiting",13,84,3,2,2,3
"Oregon","Fraud",42,129,16,5,8,13
"Oregon","Vandalism",96,374,33,95,16,117
"Oregon","Weapons",74,151,33,13,3,43
"Oregon","Prostitution",79,295,8,6,17,0
"Oregon","Sex offenses",36,200,2,10,0,12
"Oregon","Total Drug Violations",680,1718,31,71,25,82
"Oregon","Sale (subtotal)",120,267,5,5,2,9
"Oregon","Sale-Opiates",98,165,3,2,1,5
"Oregon","Sale-Marijuana",19,22,2,2,0,4
"Oregon","Sale-Other drugs",3,77,0,1,1,0
"Oregon","Possession (subtotal)",560,1451,26,66,23,73
"Oregon","Possession-Opiates",409,514,3,10,6,8
"Oregon","Possession-Marijuana",114,589,23,53,16,63
"Oregon","Possession-Synthetic narcotics",13,20,0,0,0,0
"Oregon","Possession-Other drugs",24,328,0,3,1,2
"Oregon","Family offenses",3,11,0,0,0,0
"Oregon","DUI",177,1436,0,5,2,3
"Oregon","Liquor",484,3156,8,118,37,99
"Oregon","Disorderly conduct",432,985,120,59,29,152
"Oregon","All other non-traffic offenses",362,1274,61,60,39,88
"Oregon","Curfew and Loitering",0,0,100,99,72,134
"Oregon","Runaways",0,0,96,203,158,151
"Oregon","Arson",1,18,2,10,5,8
"Oregon","Stolen property",2,11,1,1,1,1
"Oregon","Manslaughter by negligence",0,1,0,0,0,0
"Oregon","Sale-Synthetic narcotics",0,3,0,0,0,0
