"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"North Carolina","Murder and manslaughter",17,6,3,2,0,6
"North Carolina","Rape",19,11,6,0,0,6
"North Carolina","Robbery",253,39,76,10,4,82
"North Carolina","Aggravated assault",218,110,30,13,8,35
"North Carolina","Burglary",376,164,103,30,16,117
"North Carolina","Larceny",1372,772,191,119,145,171
"North Carolina","Motor vehicle theft",22,11,3,3,1,5
"North Carolina","Other assaults",1106,704,94,37,41,91
"North Carolina","Arson",13,5,4,3,0,7
"North Carolina","Forgery and counterfeiting",42,22,0,1,0,1
"North Carolina","Fraud",569,309,3,0,2,2
"North Carolina","Embezzlement",60,41,2,0,1,1
"North Carolina","Stolen property",227,73,20,5,3,23
"North Carolina","Vandalism",224,164,35,11,6,41
"North Carolina","Weapons",237,86,36,14,4,46
"North Carolina","Prostitution",119,75,0,0,0,0
"North Carolina","Sex offenses",43,54,4,2,1,5
"North Carolina","Total Drug Violations",1791,460,110,54,22,147
"North Carolina","Sale (subtotal)",646,135,39,8,6,42
"North Carolina","Sale-Opiates",386,78,10,1,1,10
"North Carolina","Sale-Marijuana",244,52,29,6,4,32
"North Carolina","Possession (subtotal)",1145,325,71,46,16,105
"North Carolina","Possession-Opiates",159,58,1,0,0,1
"North Carolina","Possession-Marijuana",437,124,34,12,1,46
"North Carolina","Possession-Other drugs",549,143,36,34,15,58
"North Carolina","Family offenses",50,28,0,2,2,0
"North Carolina","DUI",418,1293,1,6,1,6
"North Carolina","Liquor",707,855,22,95,51,75
"North Carolina","Disorderly conduct",836,518,118,38,52,108
"North Carolina","Vagrancy",119,96,0,0,0,0
"North Carolina","All other non-traffic offenses",5220,2020,140,68,42,174
"North Carolina","Sale-Other drugs",16,5,0,1,1,0
