"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Missouri","Unclassified Arrest",0,0,0,0,0,0
"Missouri","Murder and manslaughter",116,4,18,0,0,18
"Missouri","Rape",81,11,9,0,0,9
"Missouri","Robbery",558,44,132,7,10,129
"Missouri","Aggravated assault",1295,204,145,5,34,116
"Missouri","Burglary",663,185,141,19,10,150
"Missouri","Larceny",1834,557,335,88,166,257
"Missouri","Motor vehicle theft",132,25,61,4,6,59
"Missouri","Other assaults",2332,545,590,23,222,391
"Missouri","Forgery and counterfeiting",240,38,5,0,2,3
"Missouri","Fraud",148,57,5,1,2,4
"Missouri","Stolen property",529,50,229,10,13,226
"Missouri","Vandalism",739,168,115,14,17,112
"Missouri","Weapons",565,69,75,6,7,74
"Missouri","Prostitution",28,33,0,0,0,0
"Missouri","Sex offenses",167,39,29,2,1,30
"Missouri","Total Drug Violations",2127,574,174,23,15,182
"Missouri","Sale (subtotal)",483,160,10,2,2,10
"Missouri","Sale-Marijuana",3,3,1,0,0,1
"Missouri","Sale-Other drugs",473,156,9,2,2,9
"Missouri","Possession (subtotal)",1644,414,164,21,13,172
"Missouri","Possession-Opiates",205,37,2,0,0,2
"Missouri","Possession-Marijuana",493,40,40,8,5,43
"Missouri","Possession-Other drugs",944,337,122,13,8,127
"Missouri","Gambling (total)",7,2,0,0,0,0
"Missouri","All other gambling",7,2,0,0,0,0
"Missouri","Family offenses",164,45,2,0,0,2
"Missouri","DUI",177,197,0,0,0,0
"Missouri","Liquor",293,157,2,1,1,2
"Missouri","Disorderly conduct",2323,908,211,14,84,141
"Missouri","Vagrancy",36,23,0,0,0,0
"Missouri","All other non-traffic offenses",3855,914,212,37,38,211
"Missouri","Arson",11,10,5,0,3,2
"Missouri","Sale-Opiates",7,1,0,0,0,0
"Missouri","Manslaughter by negligence",2,0,1,0,0,1
"Missouri","Possession-Synthetic narcotics",2,0,0,0,0,0
