"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Virginia","Murder and manslaughter",18,4,2,0,0,2
"Virginia","Rape",3,2,1,0,0,1
"Virginia","Robbery",90,36,45,5,1,49
"Virginia","Aggravated assault",66,62,13,11,7,17
"Virginia","Burglary",127,99,49,54,6,102
"Virginia","Larceny",632,645,294,306,269,350
"Virginia","Other assaults",1156,1754,284,237,210,319
"Virginia","Forgery and counterfeiting",59,64,2,5,2,5
"Virginia","Fraud",122,217,5,1,4,2
"Virginia","Embezzlement",30,42,0,1,1,0
"Virginia","Stolen property",23,18,8,2,4,6
"Virginia","Vandalism",89,134,54,69,16,109
"Virginia","Weapons",113,84,14,23,2,35
"Virginia","Prostitution",17,36,0,0,0,0
"Virginia","Sex offenses",18,47,8,8,3,14
"Virginia","Total Drug Violations",540,795,47,180,35,193
"Virginia","Sale (subtotal)",121,146,5,11,4,12
"Virginia","Sale-Opiates",59,59,0,0,0,0
"Virginia","Sale-Marijuana",52,70,5,7,2,10
"Virginia","Sale-Other drugs",9,16,0,4,2,2
"Virginia","Possession (subtotal)",407,617,41,165,30,177
"Virginia","Possession-Opiates",73,106,2,1,0,3
"Virginia","Possession-Marijuana",320,468,38,157,28,168
"Virginia","Possession-Synthetic narcotics",2,5,0,1,0,1
"Virginia","Possession-Other drugs",12,38,1,6,2,5
"Virginia","Family offenses",34,19,0,0,0,0
"Virginia","DUI",464,1920,2,15,5,12
"Virginia","Liquor",231,703,58,238,131,169
"Virginia","Drunkenness",792,2821,9,28,9,28
"Virginia","Disorderly conduct",341,386,68,29,34,63
"Virginia","Vagrancy",8,98,0,0,0,0
"Virginia","All other non-traffic offenses",3651,4658,139,245,90,298
"Virginia","Curfew and Loitering",0,0,282,393,255,428
"Virginia","Motor vehicle theft",14,17,10,12,5,17
"Virginia","Arson",0,10,0,6,0,6
"Virginia","Gambling (total)",0,7,0,0,0,0
"Virginia","Runaways",0,0,1,0,1,0
"Virginia","Sale-Synthetic narcotics",1,1,0,0,0,0
