"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Alabama","Unclassified Arrest",0,0,0,0,0,0
"Alabama","Murder and manslaughter",88,80,5,1,0,7
"Alabama","Rape",102,112,8,7,1,14
"Alabama","Robbery",421,167,89,11,6,94
"Alabama","Aggravated assault",1198,1296,104,68,39,137
"Alabama","Burglary",794,1131,133,123,11,245
"Alabama","Larceny",3889,7224,732,786,643,883
"Alabama","Motor vehicle theft",179,433,24,19,4,39
"Alabama","Other assaults",6511,10027,429,419,327,522
"Alabama","Forgery and counterfeiting",462,708,4,0,2,3
"Alabama","Fraud",2021,4299,14,15,5,24
"Alabama","Stolen property",566,849,44,35,6,73
"Alabama","Vandalism",754,964,43,111,16,140
"Alabama","Weapons",601,408,49,23,5,67
"Alabama","Prostitution",23,48,0,1,0,1
"Alabama","Sex offenses",123,274,2,11,0,14
"Alabama","Total Drug Violations",3240,4629,124,189,41,273
"Alabama","Sale (subtotal)",641,1105,8,24,4,28
"Alabama","Sale-Marijuana",168,102,5,10,0,15
"Alabama","Possession (subtotal)",2598,3524,116,165,37,245
"Alabama","Possession-Opiates",462,370,4,14,5,13
"Alabama","Possession-Marijuana",1903,1377,108,129,26,212
"Alabama","Gambling (total)",27,19,1,0,0,1
"Alabama","Number and lottery",1,1,0,0,0,0
"Alabama","All other gambling",26,18,1,0,0,1
"Alabama","Family offenses",387,629,0,5,2,3
"Alabama","DUI",2854,10167,2,79,17,65
"Alabama","Liquor",626,2596,70,392,127,335
"Alabama","Drunkenness",1327,4729,14,35,8,41
"Alabama","Disorderly conduct",1331,1326,417,115,240,292
"Alabama","All other non-traffic offenses",25496,43136,494,719,248,972
"Alabama","Embezzlement",62,99,1,1,0,2
"Alabama","Arson",29,71,5,3,0,8
"Alabama","Sale-Other drugs",79,799,1,10,2,9
"Alabama","Possession-Synthetic narcotics",133,616,1,9,4,6
"Alabama","Possession-Other drugs",100,1161,3,13,2,14
"Alabama","Sale-Opiates",283,101,1,1,1,1
"Alabama","Sale-Synthetic narcotics",111,103,1,3,1,3
"Alabama","Runaways",0,0,66,66,76,57
"Alabama","Vagrancy",22,74,0,1,0,1
"Alabama","Curfew and Loitering",0,0,70,26,29,67
"Alabama","Manslaughter by negligence",3,8,0,0,0,0
