"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Arizona","Burglary",305,2738,151,1172,98,1254
"Arizona","Vandalism",907,7091,266,2492,492,2407
"Arizona","Disorderly conduct",1498,11976,304,2515,956,1987
"Arizona","All other non-traffic offenses",8679,65057,374,4218,1327,3474
"Arizona","Family offenses",117,2244,23,207,85,154
"Arizona","DUI",2165,32864,10,426,103,352
"Arizona","Liquor",1258,16329,214,4498,1987,3201
"Arizona","Aggravated assault",636,4278,105,749,212,721
"Arizona","Larceny",2979,21348,1080,6566,3687,4461
"Arizona","Other assaults",2627,17226,592,3683,1675,2811
"Arizona","Sex offenses",121,1130,29,234,21,255
"Arizona","Forgery and counterfeiting",179,1741,1,27,10,19
"Arizona","Motor vehicle theft",98,1078,18,281,63,248
"Arizona","Weapons",361,2050,44,273,13,319
"Arizona","Total Drug Violations",2866,22637,352,4806,1049,4466
"Arizona","Possession (subtotal)",2414,19521,314,4284,941,3985
"Arizona","Possession-Other drugs",351,3829,38,576,137,522
"Arizona","Murder and manslaughter",41,239,2,36,7,31
"Arizona","Stolen property",105,917,14,127,25,117
"Arizona","Possession-Marijuana",1622,11789,268,3454,740,3257
"Arizona","Sale (subtotal)",452,3095,38,520,108,479
"Arizona","Sale-Marijuana",173,1090,31,325,54,318
"Arizona","Robbery",337,1069,64,196,17,249
"Arizona","Arson",7,86,5,102,21,92
"Arizona","Possession-Synthetic narcotics",171,2338,6,162,47,128
"Arizona","Runaways",0,0,406,3382,2007,1968
"Arizona","Sale-Opiates",187,976,3,83,21,67
"Arizona","Sale-Synthetic narcotics",61,420,0,32,10,28
"Arizona","Sale-Other drugs",31,609,4,80,23,66
"Arizona","Unclassified Arrest",0,0,0,0,0,0
"Arizona","Fraud",210,1722,14,86,52,55
"Arizona","Rape",24,139,5,12,1,19
"Arizona","Curfew and Loitering",0,0,307,2795,1090,2108
"Arizona","Possession-Opiates",270,1565,2,92,17,78
"Arizona","Embezzlement",21,179,2,6,4,4
"Arizona","Vagrancy",129,958,2,13,6,12
"Arizona","Prostitution",187,697,0,11,8,3
"Arizona","Gambling (total)",3,254,0,11,0,11
"Arizona","All other gambling",0,1,0,1,0,1
"Arizona","Manslaughter by negligence",2,8,0,1,0,1
"Arizona","Bookmaking (horse and sports)",3,241,0,8,0,8
"Arizona","Number and lottery",0,12,0,2,0,2
"Arizona","Drunkenness",1,2,0,0,0,0
