"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Georgia","Unclassified Arrest",0,0,0,0,0,0
"Georgia","DUI",9364,22179,38,206,53,193
"Georgia","Other assaults",17077,11995,4250,1757,2028,4002
"Georgia","Aggravated assault",5743,3599,909,376,355,935
"Georgia","Larceny",17379,15522,5487,2943,3528,5008
"Georgia","Forgery and counterfeiting",3114,2050,42,42,22,64
"Georgia","Disorderly conduct",15059,9127,3747,1248,1929,3087
"Georgia","Total Drug Violations",23749,17590,1873,1746,494,3156
"Georgia","Possession (subtotal)",19509,13625,1488,1381,400,2494
"Georgia","Possession-Synthetic narcotics",422,2071,16,78,29,67
"Georgia","Robbery",1909,492,571,63,33,601
"Georgia","Possession-Marijuana",14482,8420,1337,1168,308,2218
"Georgia","Burglary",3934,2925,1685,669,151,2209
"Georgia","Vandalism",1920,1383,651,303,157,798
"Georgia","Sale (subtotal)",3861,3592,345,301,84,567
"Georgia","Sale-Opiates",1473,637,42,32,8,67
"Georgia","All other non-traffic offenses",54151,41195,5620,3241,2807,6094
"Georgia","Family offenses",2081,2384,108,100,68,142
"Georgia","Liquor",3859,5095,350,891,451,797
"Georgia","Possession-Opiates",4130,1658,95,52,29,118
"Georgia","Motor vehicle theft",1083,717,407,124,90,443
"Georgia","Fraud",5279,2565,289,43,97,236
"Georgia","Weapons",2428,1031,685,381,161,916
"Georgia","Sex offenses",2155,1358,339,250,89,505
"Georgia","Rape",205,113,29,17,1,45
"Georgia","Sale-Marijuana",1618,1008,256,170,54,375
"Georgia","Possession-Other drugs",475,1472,39,83,33,91
"Georgia","Stolen property",2067,1162,423,111,94,442
"Georgia","Sale-Other drugs",614,1362,43,74,18,100
"Georgia","Curfew and Loitering",0,0,367,182,135,414
"Georgia","Drunkenness",1277,2202,26,52,29,49
"Georgia","Runaways",0,0,1173,734,1092,820
"Georgia","Sale-Synthetic narcotics",156,585,4,25,4,25
"Georgia","Embezzlement",277,137,9,4,5,8
"Georgia","Murder and manslaughter",319,98,40,10,9,42
"Georgia","Prostitution",1046,316,21,7,24,4
"Georgia","Vagrancy",1132,339,54,28,14,70
"Georgia","Arson",101,86,57,29,16,71
"Georgia","Gambling (total)",206,253,14,0,0,14
"Georgia","All other gambling",196,249,12,0,0,12
"Georgia","Suspicion",133,51,35,11,12,34
"Georgia","Manslaughter by negligence",17,19,1,1,0,2
"Georgia","Number and lottery",5,4,2,0,0,2
"Georgia","Bookmaking (horse and sports)",5,0,0,0,0,0
