"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"Mississippi","Aggravated assault",925,399,59,15,16,61
"Mississippi","Burglary",1417,850,541,158,30,731
"Mississippi","Larceny",4675,3519,1161,571,845,1148
"Mississippi","Other assaults",7375,3830,905,366,505,1154
"Mississippi","Stolen property",488,194,78,21,11,94
"Mississippi","Sex offenses",237,169,23,14,3,34
"Mississippi","Total Drug Violations",7062,5441,348,319,105,606
"Mississippi","Sale (subtotal)",747,546,18,19,7,35
"Mississippi","Sale-Opiates",358,77,2,4,0,11
"Mississippi","Sale-Marijuana",280,148,14,9,4,19
"Mississippi","Sale-Synthetic narcotics",73,226,1,4,2,3
"Mississippi","Sale-Other drugs",36,95,1,2,1,2
"Mississippi","Possession (subtotal)",5697,3970,293,238,83,457
"Mississippi","Possession-Opiates",966,474,27,20,11,38
"Mississippi","Possession-Marijuana",4007,1762,243,163,50,358
"Mississippi","Possession-Synthetic narcotics",215,764,9,13,7,19
"Mississippi","Gambling (total)",111,58,9,12,5,17
"Mississippi","All other gambling",98,52,9,6,2,14
"Mississippi","DUI",5085,8108,14,76,16,79
"Mississippi","Drunkenness",2149,3398,22,45,10,58
"Mississippi","Disorderly conduct",4024,2429,1272,441,708,1188
"Mississippi","All other non-traffic offenses",24411,15795,1156,498,560,1336
"Mississippi","Forgery and counterfeiting",495,297,5,3,5,3
"Mississippi","Fraud",1088,666,36,20,20,37
"Mississippi","Robbery",469,70,113,3,6,125
"Mississippi","Vandalism",683,328,97,86,37,155
"Mississippi","Motor vehicle theft",209,142,58,17,7,70
"Mississippi","Possession-Other drugs",509,970,14,42,15,42
"Mississippi","Embezzlement",332,233,2,3,3,5
"Mississippi","Vagrancy",90,63,0,0,0,0
"Mississippi","Unclassified Arrest",0,0,0,0,0,0
"Mississippi","Arson",43,28,5,1,2,12
"Mississippi","Weapons",601,194,108,47,39,206
"Mississippi","Liquor",799,1320,24,123,35,118
"Mississippi","Family offenses",2367,1280,132,54,75,117
"Mississippi","Manslaughter by negligence",4,7,2,0,0,2
"Mississippi","Rape",90,45,18,5,0,26
"Mississippi","Prostitution",69,91,0,0,0,0
"Mississippi","Bookmaking (horse and sports)",2,0,0,0,0,0
"Mississippi","Number and lottery",3,1,0,0,0,0
"Mississippi","Curfew and Loitering",0,0,346,150,113,387
"Mississippi","Murder and manslaughter",98,28,6,1,0,7
"Mississippi","Suspicion",87,99,5,1,1,5
"Mississippi","Runaways",0,0,155,79,158,104
