"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"North Dakota","DUI",103,3578,0,25,9,23
"North Dakota","Other assaults",133,1079,40,273,152,244
"North Dakota","Forgery and counterfeiting",4,49,0,5,1,4
"North Dakota","Disorderly conduct",79,990,92,626,322,579
"North Dakota","Liquor",112,3626,21,666,399,459
"North Dakota","Sex offenses",5,44,5,27,0,34
"North Dakota","Total Drug Violations",89,1348,6,306,97,254
"North Dakota","Possession (subtotal)",69,1048,5,280,90,231
"North Dakota","Possession-Marijuana",57,713,3,221,70,184
"North Dakota","Unclassified Arrest",0,0,0,0,0,0
"North Dakota","Larceny",99,1104,51,637,417,479
"North Dakota","Vandalism",14,184,6,176,42,191
"North Dakota","Weapons",5,96,0,13,1,12
"North Dakota","All other non-traffic offenses",207,2847,53,861,417,682
"North Dakota","Runaways",0,0,56,418,327,284
"North Dakota","Possession-Other drugs",4,239,2,47,15,39
"North Dakota","Sale (subtotal)",19,276,1,21,6,19
"North Dakota","Sale-Synthetic narcotics",1,21,0,1,0,3
"North Dakota","Motor vehicle theft",6,61,1,35,19,32
"North Dakota","Stolen property",10,54,11,40,12,50
"North Dakota","Aggravated assault",35,204,4,31,9,30
"North Dakota","Burglary",9,143,4,48,9,62
"North Dakota","Drunkenness",3,174,0,1,1,0
"North Dakota","Family offenses",4,43,0,35,28,22
"North Dakota","Fraud",27,472,0,14,5,9
"North Dakota","Sale-Opiates",5,17,0,0,0,1
"North Dakota","Sale-Marijuana",9,181,1,10,4,7
"North Dakota","Rape",1,21,1,14,1,15
"North Dakota","Sale-Other drugs",4,57,0,10,2,8
"North Dakota","Embezzlement",2,31,0,2,2,0
"North Dakota","Possession-Opiates",2,34,0,1,1,1
"North Dakota","Curfew and Loitering",0,0,18,203,108,160
"North Dakota","Possession-Synthetic narcotics",6,62,0,11,4,7
"North Dakota","Murder and manslaughter",0,8,0,0,0,0
"North Dakota","Robbery",4,11,4,1,0,5
"North Dakota","Vagrancy",0,0,0,0,0,0
"North Dakota","Arson",0,6,0,4,0,4
"North Dakota","Prostitution",1,3,0,0,0,0
"North Dakota","Manslaughter by negligence",0,2,0,0,0,0
